Gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
b1309,12.13108416407366,1.9902793151053162,0.6081058521199326,3.2729159046356076,0.001064441423021253,0.0035750969689872314,ycjM
b0033,4730.56705961056,1.9727930814194532,0.4942290353717996,3.9916575923860007,6.561306365302035e-05,0.0003058223409042706,carB
b1296,976.6090516156686,1.9720877548652587,0.5499241660912128,3.586108551807414,0.00033564928467717396,0.0012883792803994978,puuP
b4536,215.75843617454066,1.966160446739529,0.1935111285934281,10.160451551447892,2.9769448413615128e-24,2.0062656135798652e-22,yobH
b2699,12923.5389378723,1.9614538210744596,0.18802936577700782,10.43163557441678,1.7780105710293898e-25,1.3052502602681825e-23,recA
b3710,112.54160936604148,1.9603967920705296,0.31887272713652876,6.147897343478876,7.851682086308441e-10,9.500131706539438e-09,mdtL
b0628,3709.993130574428,1.946307646052528,0.15824977065225074,12.29896029568019,9.174747855216366e-35,1.63988645359976e-32,lipA
b0736,417.22496268258084,1.9202363477682969,0.2026258122184326,9.476760767765676,2.6229906300716737e-21,1.283704104788649e-19,ybgC
b2066,309.6684565156481,1.9117324886293368,0.24717540852534534,7.734315076223726,1.0396127222140816e-14,2.414603333910785e-13,udk
b0989,6.600649552505737,1.911584578357894,0.7750324590427405,2.4664574445293987,0.01364569419384039,0.03269082099701506,cspH
b3974,349.1441345712883,1.9113111898975743,0.28465304952387804,6.714529119201459,1.886744989678959e-11,2.900048209294606e-10,coaA
b3821,361.1044564928568,1.9015144247212892,0.17614480506352193,10.795177433904785,3.627611453518282e-27,3.3893433375940132e-25,pldA
b1627,155.21235786154492,1.897842579787852,0.2957203097087388,6.417694414215505,1.3835361841830032e-10,1.8896070608559224e-09,rsxA
b2685,349.94959308626136,1.896225596629763,0.25310852882894164,7.491749114117326,6.79617409789474e-14,1.4110642281032968e-12,emrA
b2887,57.95463691845808,1.8934888274322061,0.48306206265063517,3.919763057033178,8.863606783529189e-05,0.0003986683532504212,ygfT
b1297,1569.873975844077,1.892864985225709,0.536049689589353,3.531137172518018,0.0004137771039776562,0.0015563016234694826,puuA
b1055,502.0229738554513,1.8854336160213505,0.20999331460930035,8.978541147984942,2.743805148878464e-19,1.0254348151853968e-17,trhO
b0991,11.362389322810564,1.884244651373184,0.5810599285803125,3.2427716293858126,0.0011837305149120518,0.003922238628204419,ymcE
b1307,66.16229797906207,1.8833808078784962,0.2984359941997031,6.310836643311203,2.7753101645276965e-10,3.6685852367760002e-09,pspD
b3238,193.7481195007232,1.8787222438687692,0.359628410568829,5.224065142398426,1.7503715548791082e-07,1.3680185289178732e-06,yhcN
b3260,2751.1332299681144,1.8781990921766485,0.19875275749424154,9.44992721537997,3.3906638854628796e-21,1.6021861187514826e-19,dusB
b3262,19.344713169491587,1.8715112775868834,0.643910380293839,2.9064778808703893,0.0036552274047134104,0.010420693384727344,yhdJ
b1459,17.58064029138638,1.8665360451776352,0.5334633595726112,3.4989020551908703,0.0004671781592899053,0.0017318028970611367,yncI
b4050,101.71661514968093,1.8619741578787605,0.37325017239652647,4.988541990278498,6.083668930046409e-07,4.253395063166801e-06,pspG
b0685,134.06165835506775,1.8609576273893547,0.303961545254592,6.1223455941792055,9.220775622831538e-10,1.0904626065559687e-08,ybfE
b1531,117.79087979825017,1.852171016620639,0.2744390246011585,6.7489345559087095,1.4893474298598635e-11,2.336911177157977e-10,marA
b2866,352.411321089861,1.8503960317230688,0.43691206245887276,4.235168105246006,2.2838079011760063e-05,0.00011824602369942772,xdhA
b4670,11.973522324439228,1.845516236835788,0.6095599212970565,3.027620702012024,0.0024648725484240864,0.007396416822314904,yjeV
b1281,354.80499128205156,1.838220264824153,0.25474365006580174,7.2159610822461335,5.355437317124642e-13,1.0240094330557864e-11,pyrF
b0234,15.14408941762011,1.8272805474131046,0.5909904893335356,3.091895014205292,0.0019888317463592708,0.006138203685647869,yafP
b4638,38.483747224912136,1.8249526008516013,0.3845908415025869,4.74517956205498,2.0832145375538574e-06,1.305502281079864e-05,ttcC
b2456,14.41997700763313,1.813579206702447,0.5978879348991213,3.033309590046241,0.002418873060438646,0.007275766332060369,eutN
b2574,159.00470403934258,1.8070123614115332,0.26814428763157117,6.738955274312458,1.595294944477549e-11,2.493634036786009e-10,nadB
b0104,703.7333370272814,1.8051454606679675,0.18395696429660108,9.812868284548664,9.911055947406546e-23,5.432580133305108e-21,guaC
b4308,7.151578832174988,1.8044423031634709,0.7517684046403006,2.400263554607412,0.016383271218574958,0.03846466475132019,yjhR
b1959,198.83349474089002,1.8003826280191015,0.26198943733161345,6.871966466878071,6.332284220551359e-12,1.0496782431728483e-10,yedA
b1061,176.10616111278134,1.7935750171038114,0.22988543036122067,7.802038668938495,6.091497386531548e-15,1.4559387067459998e-13,dinI
b2522,754.5043937487291,1.7891959771920884,0.46932867316775406,3.812245190808039,0.00013771016675634466,0.0005897150995159717,sseB
b1020,1716.3977784428428,1.7870649404945531,0.5214079443301254,3.427383414325361,0.0006094279286023067,0.0021880857768419937,phoH
b0958,1245.6748803187058,1.782933181120224,0.18915133051060562,9.425961616591726,4.261822799158581e-21,1.9467059474823252e-19,sulA
b1320,71.49833512812893,1.7587701620214193,0.27453718867072857,6.406309362083669,1.4908431305083508e-10,2.0227247886204057e-09,ycjW
b0593,172.57472230235382,1.7515100718483034,0.4272100239512376,4.099880559095269,4.133634203309236e-05,0.00020206147692989617,entC
b1550,117.54841285062611,1.7501454333752189,0.24798386711922843,7.057497141673997,1.695282517912415e-12,3.056713346990324e-11,gnsB
b2171,300.76569002502066,1.749442611437545,0.22983641100270236,7.6116860849213985,2.7054302000622355e-14,5.947606177783878e-13,yeiP
b1109,3160.0138270966127,1.7460739404497891,0.3087704702492204,5.654925288161353,1.5591407802927215e-08,1.483710126801708e-07,ndh
b1021,9.214384430198862,1.7390193529178575,0.64632127184123,2.6906422992450274,0.0071314613849700476,0.01870927744327496,pgaD
b2874,244.1590214862647,1.7258355644736283,0.33636557262442657,5.130832953587176,2.884628237023422e-07,2.1290317203596567e-06,yqeA
b1742,41.11481370201964,1.7247184458895448,0.3638312638252334,4.740434969101541,2.1325989398282498e-06,1.3283506426718083e-05,ves
b2695,23.792942654091462,1.724262423259644,0.5263676557731327,3.275775789694058,0.0010537217751152843,0.00355069689958929,serV
b1986,18.842226085966214,1.718451092248739,0.4537470997240609,3.787244245293882,0.00015232734676704038,0.0006409597979112621,asnU
b2379,682.1198534732297,1.7179844725867965,0.29742720862771244,5.776151013598711,7.642878296990314e-09,7.777196207655241e-08,alaC
b1422,796.7125198982868,1.7110082011935464,0.37553278285155706,4.556215274206525,5.208355786587979e-06,3.019964829148545e-05,ydcI
b1532,36.497526111922305,1.7106323932089744,0.3859295926368736,4.432498636658142,9.314729170115627e-06,5.105713549112713e-05,marB
b4340,152.99637865570458,1.7059168872007926,0.2941825988492452,5.7988368240468064,6.677646874601629e-09,6.914812670399822e-08,yjiR
b0583,23.976699333412395,1.70448190771085,0.6236623929381799,2.733020183693849,0.006275648645689904,0.016730993244118805,entD
b3646,110.94795029847042,1.6981627828373929,0.2669379598247683,6.361638426966901,1.996128949749813e-10,2.6643136728641173e-09,yicG
b2734,9.666191598005735,1.697825001131624,0.7188313419651302,2.3619240036058193,0.018180368676466458,0.041894336114884315,pphB
b4613,882.8442898413696,1.693325650590315,0.1914806343998001,8.843325884615322,9.291073692966664e-19,3.26458153434068e-17,dinQ
b3715,100.81215089718417,1.689672597195996,0.29900871998136186,5.650914118161231,1.5959681948194383e-08,1.5152483253816884e-07,yieH
b2698,131.74940082635464,1.679715298385678,0.2370758142515048,7.085139847305264,1.3890395917948036e-12,2.5379296719415278e-11,recX
b0460,435.9763266751384,1.6747542223729543,0.243060749288323,6.890270137307653,5.568653938957283e-12,9.343974017572812e-11,hha
b0461,907.5129762467981,1.6738886875441064,0.27396655561972505,6.109828565598793,9.973821876099054e-10,1.1714966209326632e-08,tomB
b1707,211.32049644013242,1.6690901028446514,0.24411003674064907,6.837449721979069,8.06153670415328e-12,1.3256390956309651e-10,rflP
b0523,155.8084925413747,1.667103067972759,0.23508106636185178,7.091609263872606,1.3256135425271157e-12,2.4328559255932916e-11,purE
b1282,36.533719017377585,1.665217323805012,0.36121420022635375,4.610054983335397,4.0256248773011215e-06,2.3743678436994134e-05,yciH
b2868,67.75815444278932,1.6644649673016085,0.40779815196719477,4.081590265361247,4.472859958980711e-05,0.00021632855636905533,xdhC
b2420,50.761023971172584,1.6630914900849434,0.301391048259725,5.518052044637263,3.42777928560432e-08,3.103876793638625e-07,yfeS
b3696,26.050496141775344,1.6617819854436366,0.3932501207461578,4.225763446151142,2.381320467656517e-05,0.0001229850306851249,yidX
b3816,501.4484420054082,1.6617125276755367,0.18677254447732286,8.896985005616255,5.738425003942153e-19,2.0693565957198414e-17,corA
b3002,402.2962006221017,1.6518305927151653,0.18218720555020845,9.066666277286645,1.2271406416392343e-19,4.804547788360849e-18,yqhA
b0023,2610.8601284703623,1.6446818933294751,0.21274064066902051,7.730924792542355,1.067680891852289e-14,2.46586300359818e-13,rpsT
b4131,11.576029098030803,1.6408023818613526,0.5743151042305084,2.856972365474819,0.004277030735221989,0.01196928070285745,cadA
b2321,488.24456734759514,1.6393550896271534,0.1683528296453083,9.737615299255763,2.0838705317765873e-22,1.1272094415965198e-20,flk
b2454,37.5618942790252,1.630824543598631,0.589401940061787,2.7669141086092655,0.005658966245517214,0.01530526989165873,eutJ
b1305,27.358451234222553,1.6280948839944251,0.42539425812247156,3.827261071130148,0.00012957706036102477,0.0005577919320881391,pspB
b2518,830.934585056319,1.62690077854835,0.3353117081544114,4.851905671600231,1.2228078287483252e-06,7.979306323784707e-06,ndk
b3862,38.437704147087736,1.6242533754478936,0.426966484019174,3.804170669693485,0.00014228006230625713,0.0006048741842202927,yihG
b4044,724.1079204606107,1.6192188831545233,0.1726800617173993,9.37698809608064,6.788416559839107e-21,3.0007720943546848e-19,dinF
b2455,98.93040446772132,1.6169246396435297,0.4677028714446904,3.4571620966298555,0.0005458963769723948,0.001996601428588537,eutE
b4537,48.91350611835512,1.6151463121502274,0.3077045763214266,5.249016220230192,1.529136127666431e-07,1.2112290213558185e-06,yecJ
b0594,278.6498555948112,1.6126762547852815,0.522505621678837,3.086428524163379,0.002025766431315655,0.006238146666021466,entE
b1520,34.61828920769734,1.6113071244283408,0.36285725164027566,4.440608854155506,8.97047146266168e-06,4.943379113002971e-05,yneE
b0875,268.17968122698096,1.6070558182879513,0.3119311510929184,5.15195681052464,2.5778241115258127e-07,1.923309423318079e-06,aqpZ
b1924,17.69746615929779,1.5974912211039716,0.6339641619210046,2.5198446805941495,0.011740662824513307,0.028901715491960602,fliD
b3186,2338.630038854227,1.5972682569310914,0.14976980634855763,10.664821540957236,1.4868420647085927e-26,1.3287842886993531e-24,rplU
b3065,4304.314355329367,1.5957063745245468,0.16875993784344195,9.455480932950321,3.2154040713608987e-21,1.5370379229493786e-19,rpsU
b2350,76.9731350495174,1.5915121623179977,0.25842796249025674,6.158436366490338,7.346669255444791e-10,8.935549499743649e-09,yfdG
b2972,23.971899874789752,1.5898909042332958,0.42010961157889104,3.78446686391686,0.00015403842822900237,0.0006461754882137027,pppA
b1557,2888.257869293691,1.5890407623411043,0.2692886445608409,5.900882916665612,3.6156143030458294e-09,3.9012573227877703e-08,cspB
b3175,2133.4319867697254,1.5871169704830648,0.13951905224617686,11.375628954837278,5.53027385805959e-30,6.315265508467493e-28,secG
b0990,703.6386534642929,1.5796243067808398,0.2765176172708792,5.712562990998961,1.112872020726345e-08,1.0997636724052894e-07,cspG
b0629,8.319314356012844,1.5771511337964599,0.6803210362503676,2.3182454308469254,0.020435986254790855,0.046364425769009496,ybeF
b1295,234.0596298250848,1.5756052229786262,0.22643697318259265,6.958250681562064,3.445237807881116e-12,5.950996902604735e-11,ymjA
b0295,14.326552009686635,1.5612639236510142,0.5762867236878512,2.709179058750417,0.006744992679935079,0.0178204787321421,ykgL
b1086,467.6777766150879,1.5602290076545031,0.25450891846689633,6.130351018946475,8.768539360559538e-10,1.050946510532369e-08,rluC
b3704,107.91790478300946,1.5575089440043965,0.27114041478718975,5.744289154484181,9.230793403878103e-09,9.255558947156801e-08,rnpA
b1243,65009.904990065996,1.5552398045130027,0.27952551484296234,5.563856327701383,2.638772256587434e-08,2.421426952417621e-07,oppA
b0632,1255.1494824958058,1.5519326446833301,0.17374189549371227,8.932403092951722,4.1685347038187238e-19,1.5438600150809707e-17,dacA
b0774,148.4270080982612,1.5518010358880812,0.2524161452371272,6.147788345433583,7.857078035084916e-10,9.500131706539438e-09,bioA
b0931,2207.3670550501447,1.5506924296600697,0.166757994957063,9.299058975009526,1.4169415460876625e-20,5.825046695966381e-19,pncB
b3962,3797.473258639255,1.5450782442794593,0.26596572774919647,5.80931331775369,6.272959723047894e-09,6.561867028358751e-08,sthA
b4680,89.91430767632858,1.5441628845178301,0.28855200380771484,5.351419723797269,8.726684922232103e-08,7.262227067873721e-07,ypdK
b3742,1081.3206486599472,1.5425583149853705,0.2811547967942811,5.486508971476127,4.0995461208097574e-08,3.6717285626686086e-07,mioC
b4499,28.176062845480118,1.5418862815489538,0.4234142812084161,3.6415547372385277,0.00027099648945984653,0.0010701888262914785,yehH
b2027,4004.3918694251074,1.5417560564249928,0.1565781353229538,9.84656033388703,7.092994696142361e-23,3.994424821348115e-21,wzzB
b0142,25.564691297446874,1.5405591134937637,0.5357369169961942,2.875588865765448,0.004032746087263676,0.011370795037545248,folK
b4043,6021.224893144924,1.5397040740543162,0.1350290508657851,11.40276158487359,4.0506266273719146e-30,4.757750304321697e-28,lexA
b4342,42.80939340002937,1.5349451189593881,0.333340359507991,4.6047382957916065,4.129848790885532e-06,2.428871012779746e-05,yjiT
b0843,412.7247332047088,1.5316193748399423,0.2834056512289414,5.404336039871929,6.504889378989467e-08,5.594477037034665e-07,ybjH
b0781,1467.4319592188403,1.5274110160546968,0.2930289192247402,5.212492405513191,1.8632019823618166e-07,1.442490272973527e-06,moaA
b2684,586.3937582427242,1.5211517038961484,0.1471627724840982,10.336525183775791,4.816877166519529e-25,3.4740670230810146e-23,mprA
b2060,10.113560913648005,1.5089729511328909,0.6342760257901473,2.379047748577747,0.017357427427921488,0.040294998480140155,wzc
b1786,162.55758568626968,1.5088544728619697,0.3014533118909922,5.005267526825457,5.578450048268592e-07,3.94037940694711e-06,dgcJ
b3261,559.7151540259688,1.506638686611388,0.1802040554821483,8.360736846794445,6.232773373015304e-17,1.779370231699022e-15,fis
b3645,579.2618916663934,1.4980370706577126,0.1682279407319465,8.90480537382715,5.347979347531227e-19,1.9456232829823783e-17,dinD
b0474,2174.0717144506975,1.4972251470982127,0.17187147039790093,8.71130702281173,3.003908343279279e-18,1.0039892031887085e-16,adk
b0231,792.5153872666784,1.4952001713334466,0.15775458991168048,9.478013743819057,2.5916915603242577e-21,1.283667952348557e-19,dinB
b0121,1020.0504181075834,1.4899560927812914,0.25746986844601444,5.7869144136130295,7.169108172251216e-09,7.368050924031187e-08,speE
b1015,1259.1355518095631,1.4898079979925865,0.486876380898237,3.0599307266539473,0.0022138819176375497,0.006726732123730944,putP
b2523,2766.125503587271,1.4889807290856034,0.45141790872887544,3.2984529419276876,0.0009721917393443434,0.0032975909574625376,pepB
b4598,119.33202729435997,1.483664524970736,0.28484569467911114,5.208660522821442,1.902087543369391e-07,1.4698274230811216e-06,yncL
b3055,614.3823261916255,1.4816173439563378,0.19822255597899563,7.474514374203384,7.748947669148881e-14,1.6008001943653793e-12,ygiM
b2605,130.1703107030215,1.4778896928849983,0.24139768425762892,6.122219844113075,9.228057784937118e-10,1.0904626065559687e-08,yfiB
b1848,1464.332446344958,1.4735503808317123,0.18988080175372796,7.760396876472436,8.46640220663777e-15,1.9888788269421642e-13,yebG
b1481,60.64991095136,1.4729458461789164,0.38969856186539764,3.779705624594205,0.000157013881268612,0.0006559797417634795,bdm
b1782,1107.8037689782848,1.4687978330120364,0.21920597442602238,6.700537413991544,2.0765442298830967e-11,3.173484508940301e-10,mipA
