Gene_id	CAZ_2_readcount	CAZ_2_fpkm
b0001	61	158.595913
b0002	740	51.55530969
b0003	476	87.54501088
b0004	753	100.3974128
b0005	93	53.73194868
b0006	227	50.13152666
b0007	186	22.30382776
b0008	14325	2576.631714
b0009	596	173.9302118
b0010	122	36.92179986
b0011	14	3.364619177
b0013	3	1.271078356
b0014	13127	1175.031379
b0015	1303	197.6914573
b0016	2	0.308347849
b0018	0	0
b0019	3344	491.7014679
b0020	760	143.9433105
b0021	3	1.02140225
b0022	3	1.865169327
b0023	4156	2701.330388
b0024	18	14.10374614
b0025	1331	242.4561724
b0026	3916	238.5403918
b0027	500	173.3288667
b0028	400	152.5294027
b0029	676	121.9754056
b0030	223	41.82056165
b0031	327	68.26247448
b0032	2482	370.6703435
b0033	11440	609.2654913
b0034	169	73.23144619
b0035	14	4.064869869
b0036	11	2.401464833
b0037	42	4.637718326
b0038	84	11.8341778
b0039	249	37.38171385
b0040	4	0.453057632
b0041	4	0.890249432
b0042	3	0.546482733
b0043	9	1.199969077
b0044	0	0
b0045	4	0.515302036
b0046	40	12.92622057
b0047	179	16.48717578
b0048	627	224.1467238
b0049	514	104.6264853
b0050	178	80.80426691
b0051	1022	213.346327
b0052	587	101.7440448
b0053	3123	416.3892698
b0054	5068	369.2765985
b0055	635	133.5333236
b0058	123	31.97917591
b0059	669	39.49000403
b0060	1685	122.9330566
b0061	24	5.917088898
b0062	53	6.050941874
b0063	27	2.723739334
b0064	288	56.22244196
b0065	303	67.96530738
b0066	63	15.46569588
b0067	141	15.01860739
b0068	315	54.93151127
b0069	286	29.63546819
b0070	201	29.25420796
b0071	66	18.68862731
b0072	83	10.16590505
b0073	72	11.31399416
b0074	52	5.676189605
b0075	0	0
b0076	28	5.084313424
b0077	97	9.64914265
b0078	34	11.858231
b0080	1690	288.5537581
b0081	1139	425.8112492
b0082	1497	272.6948836
b0083	175	82.04706601
b0084	935	90.79901838
b0085	1328	153.1444406
b0086	1224	154.5496597
b0087	980	155.275777
b0088	1646	214.4618994
b0089	912	125.6989295
b0090	1207	193.9287104
b0091	1824	212.0530721
b0092	1197	223.0183571
b0093	884	182.5397004
b0094	1612	219.0119333
b0095	4935	735.090432
b0096	20217	3779.028106
b0097	1096	366.6057574
b0098	5783	366.7173791
b0099	152	66.87827657
b0101	112	97.06416536
b0102	262	60.42747507
b0103	300	82.89641452
b0104	1054	173.2392139
b0106	43	6.133507777
b0107	90	11.14257
b0108	6	2.334633715
b0109	866	166.2212199
b0110	301	93.56932789
b0111	485	97.33784252
b0112	337	42.08712504
b0113	2916	654.0819681
b0114	29228	1882.655989
b0115	17003	1541.27819
b0116	17682	2129.230183
b0117	30	2.776627477
b0118	55455	3662.753187
b0119	877	414.5711348
b0120	1409	304.1234836
b0121	1708	338.0452679
b0122	245	120.8072317
b0123	719	79.54688628
b0124	701	50.30886667
b0125	932	297.8157891
b0126	609	157.6194676
b0127	577	106.8076036
b0128	320	71.21995457
b0129	260	101.167461
b0130	160	22.32137601
b0131	1333	600.3593321
b0132	96	18.24271926
b0133	1213	244.3021551
b0134	1001	216.0593379
b0135	5	0.692476102
b0136	0	0
b0137	1	0.28316102
b0138	1	0.301044874
b0139	7	0.462343744
b0140	1	0.23157298
b0141	2	0.586651549
b0142	49	17.51704859
b0143	1267	155.5161641
b0144	64	11.8469439
b0145	3570	1343.412749
b0146	1259	306.4380607
b0147	40	12.92622057
b0148	821	57.97529612
b0149	1193	80.75484206
b0150	731	55.89855952
b0151	196	42.14628233
b0152	115	22.14757741
b0153	258	22.32559714
b0154	1731	231.8750551
b0155	425	51.28559822
b0156	1286	639.6287344
b0157	140	38.4990079
b0158	172	36.84699054
b0159	1367	335.5810518
b0160	311	35.15561579
b0161	1167	140.5277471
b0162	96	14.22554015
b0163	1931	856.2042925
b0164	43	9.075780881
b0166	1829	380.4221967
b0167	1325	85.05953644
b0168	2050	442.4791635
b0169	11260	2661.385963
b0170	5558	1119.399323
b0171	1424	336.5731448
b0172	4547	1398.288698
b0173	967	138.6239966
b0174	2835	638.4166191
b0175	1124	224.7942071
b0176	2357	298.9288821
b0177	7511	529.7387533
b0178	3315	1170.451319
b0179	2807	469.4627559
b0180	934	351.4698901
b0181	1443	313.830696
b0182	587	87.66458165
b0183	182	52.31221977
b0184	1533	75.52570231
b0185	1240	221.6442883
b0186	499	39.97488023
b0187	129	56.75853736
b0188	327	43.19611549
b0189	159	106.9948898
b0190	221	69.45535302
b0191	86	34.88704424
b0192	436	105.2259804
b0193	56	11.64769984
b0194	4154	414.6643579
b0195	138	33.44659572
b0196	253	107.1942747
b0197	832	174.9601972
b0198	116	30.43591293
b0199	139	23.11219511
b0200	13	3.872816866
b0201	1	0.111281179
b0202	0	0
b0203	0	0
b0204	0	0
b0205	0	0
b0206	0	0
b0207	28	5.975965405
b0208	238	44.63360391
b0209	599	128.3217868
b0210	95	26.12432679
b0211	7074	893.2061215
b0212	144	32.68487201
b0213	274	65.03068933
b0214	488	178.9287224
b0215	483	113.2249511
b0216	5	11.14257
b0217	12	2.619779818
b0218	0	0
b0219	387	86.13163256
b0220	1489	539.0418053
b0221	2073	145.4877846
b0222	1135	336.3747514
b0223	410	91.60701432
b0224	1501	347.5910427
b0225	108	66.42409473
b0226	231	151.8719484
b0227	26	5.948646706
b0228	85	29.28840188
b0229	20	2.003450999
b0230	27	6.128413502
b0231	1136	184.5952431
b0232	64	37.35413944
b0233	26	11.18166674
b0234	34	12.87913831
b0235	1	0.828964145
b0236	2	0.685012288
b0237	3505	412.5120035
b0238	1090	407.492767
b0239	1168	160.9828395
b0240	2978	1271.173213
b0241	3	0.487487438
b0242	398	61.86144933
b0243	480	65.68251791
b0244	18	40.64105796
b0245	0	0
b0246	1	0.539608736
b0247	3	1.079217472
b0248	1	0.373846575
b0249	4	2.859926301
b0250	172	63.06504151
b0251	2	0.772953054
b0252	4	0.835014978
b0253	88	17.47732739
b0254	41	7.869595861
b0256	0	0
b0258	124	19.20383725
b0259	1	0.168727215
b0260	61	7.455363434
b0261	353	64.9230858
b0262	32	5.24456399
b0263	2	0.986181483
b0264	0	0
b0265	0	0
b0266	34	18.88106684
b0267	8	1.1885408
b0268	84	15.85701711
b0269	208	18.13611801
b0270	35	4.342621281
b0271	105	11.18406933
b0272	97	21.92986966
b0273	48	8.195609698
b0274	0	0
b0275	0	0
b0276	138	28.59926301
b0277	14	3.831480212
b0278	4	0.981948944
b0279	11	2.207662408
b0280	233	90.66160926
b0281	118	14.45273248
b0283	66	11.8341778
b0284	161	12.56338702
b0285	39	6.992923243
b0286	64	15.91611159
b0287	47	13.1138084
b0288	9	4.679879401
b0289	49	11.82585559
b0290	52	5.427597359
b0291	37	2.513474421
b0292	7	1.795469427
b0293	32	9.33853486
b0294	3	0.871043543
b0295	15	11.28918277
b0296	3	1.949949751
b0297	2	0.39356784
b0298	0	0
b0299	0	0
b0300	25	6.271768204
b0301	4	1.155525778
b0303	0	0
b0304	73	9.446815383
b0305	10	2.006965825
b0306	23	5.48152541
b0307	57	6.849403326
b0308	39	9.61526946
b0310	9	2.308460691
b0311	740	75.99086042
b0312	1053	122.668122
b0313	490	142.996315
b0314	1067	90.01596941
b0315	32	5.042294305
b0316	97	17.84005474
b0317	2	0.689138868
b0318	34	9.627474676
b0319	4	0.794423972
b0320	24	2.660396559
b0321	11	1.330198279
b0323	8	1.443495925
b0324	184	22.82978045
b0325	318	51.9689465
b0326	3	0.630866096
b0327	9	6.277887002
b0328	43	10.98007419
b0329	3968	2466.997296
b0330	98	10.59632429
b0331	3298	635.1540027
b0333	3361	492.933964
b0334	8124	960.0843499
b0335	9224	838.7904674
b0336	188	25.60314974
b0337	509	68.02348071
b0338	28	5.338529095
b0339	10	2.599933001
b0340	8	2.914574574
b0341	26	3.862757601
b0342	4	1.121539726
b0343	11	1.505224369
b0344	58	3.236599521
b0345	456	72.25076971
b0346	333	68.51478116
b0347	21	2.164268552
b0348	6	1.089495734
