Gene_id	CAZ_3_readcount	CAZ_3_fpkm
b0001	45	93.64816231
b0002	1207	67.30906217
b0003	709	104.3747078
b0004	1079	115.1525551
b0005	91	42.08386553
b0006	317	56.036232
b0007	227	21.78797683
b0008	17647	2540.698857
b0009	725	169.3524024
b0010	149	36.09390665
b0011	13	2.500781925
b0013	5	1.695686889
b0014	17046	1221.324453
b0015	1535	186.4131118
b0016	3	0.370217353
b0018	5	3.270253287
b0019	4609	542.4585182
b0020	967	146.5983079
b0021	1	0.272521107
b0022	8	3.981177914
b0023	4759	2475.953358
b0024	22	13.79778099
b0025	1548	225.7099657
b0026	4814	234.7199047
b0027	640	177.5846633
b0028	514	156.884951
b0029	877	126.6629964
b0030	212	31.82331723
b0031	425	71.0146243
b0032	1925	230.1131229
b0033	9172	390.9931881
b0034	126	43.70247574
b0035	10	2.324037869
b0036	8	1.397970871
b0037	44	3.888949855
b0038	119	13.41931521
b0039	300	36.05003623
b0040	7	0.63462341
b0041	3	0.53443828
b0042	1	0.145807471
b0043	9	0.960493972
b0044	0	0
b0045	4	0.412464379
b0046	49	12.67454099
b0047	254	18.7262813
b0048	793	226.9146999
b0049	655	106.7196535
b0050	248	90.11364613
b0051	1298	216.8870173
b0052	732	101.5562293
b0053	4159	443.8549368
b0054	6663	388.6060727
b0055	686	115.4687962
b0058	218	45.36733196
b0059	985	46.53951788
b0060	2269	132.5036555
b0061	24	4.736228898
b0062	72	6.579671284
b0063	38	3.0683858
b0064	429	67.03461174
b0065	365	65.53331096
b0066	99	19.45309466
b0067	158	13.470764
b0068	437	60.99820003
b0069	320	26.5411861
b0070	215	25.0469781
b0071	79	17.90544621
b0072	149	14.60759819
b0073	85	10.69121267
b0074	68	5.941376201
b0075	1	1.578742966
b0076	41	5.959128212
b0077	147	11.70466307
b0078	32	8.933374832
b0080	1969	269.0979167
b0081	1378	412.351153
b0082	1713	249.7681985
b0083	211	79.18301811
b0084	1269	98.64061103
b0085	1989	183.5957117
b0086	1946	196.6772198
b0087	1560	197.8457944
b0088	2357	245.8127972
b0089	1392	153.5679423
b0090	1539	197.9238127
b0091	2517	234.2219214
b0092	1660	247.559239
b0093	1307	216.0256124
b0094	2102	228.5914815
b0095	7128	849.8570729
b0096	26443	3956.386625
b0097	1461	391.1681914
b0098	7279	369.4661103
b0099	178	62.68823993
b0101	129	89.48602176
b0102	397	73.29059584
b0103	348	76.96943968
b0104	1336	175.7667169
b0106	62	7.078752751
b0107	123	12.18912589
b0108	10	3.11452694
b0109	1004	154.2506047
b0110	345	85.84414878
b0111	715	114.8604751
b0112	461	46.08343824
b0113	3099	556.4047416
b0114	29799	1536.378252
b0115	17713	1285.204359
b0116	18810	1813.028422
b0117	41	3.03741972
b0118	55885	2954.519017
b0119	1089	412.0519141
b0120	1518	262.261973
b0121	1859	294.5038479
b0122	334	131.8250377
b0123	916	81.11746257
b0124	874	50.20679952
b0125	1132	289.5361681
b0126	713	147.7089064
b0127	673	99.71626689
b0128	450	80.16574205
b0129	257	80.04334235
b0130	211	23.56177612
b0131	1707	615.3741185
b0132	107	16.27521403
b0133	1458	235.0436975
b0134	1180	203.8663558
