Gene_id	CHL_5_readcount	CHL_5_fpkm
b0001	54	94.41206163
b0002	1090	51.06692917
b0003	1097	135.675878
b0004	2052	183.9824791
b0005	86	33.41332222
b0006	332	49.30542672
b0007	207	16.69199972
b0008	13916	1683.230928
b0009	1216	238.6348708
b0010	146	29.71306506
b0011	25	4.040354334
b0013	3	0.854759406
b0014	15466	930.9654203
b0015	2382	243.0282777
b0016	0	0
b0018	0	0
b0019	3347	330.9500974
b0020	917	116.7935327
b0021	2	0.457906824
b0022	4	1.672355359
b0023	7877	3442.980599
b0024	57	30.03366953
b0025	2018	247.1996867
b0026	9003	368.7890861
b0027	1007	234.748015
b0028	701	179.755903
b0029	1422	172.5427583
b0030	516	65.07381443
b0031	811	113.8483376
b0032	44	4.418860635
b0033	587	21.02278371
b0034	49	14.27836735
b0035	10	1.952496104
b0036	5	0.734049108
b0037	76	5.643392215
b0038	75	7.105450725
b0039	253	25.54182634
b0040	18	1.371000235
b0041	4	0.598664175
b0042	23	2.817439442
b0043	12	1.07592093
b0044	1	0.400668471
b0045	11	0.952941229
b0046	56	12.16945595
b0047	572	35.42915798
b0048	868	208.6681399
b0049	1061	145.2330528
b0050	327	99.82368774
b0051	1466	205.7973649
b0052	1119	130.4285148
b0053	5484	491.6958651
b0054	7219	353.7233971
b0055	635	89.79687507
b0058	586	102.4545706
b0059	1700	67.48100571
b0060	1135	55.68474062
b0061	144	23.87431444
b0062	794	60.95918876
b0063	648	43.95905515
b0064	1178	154.6443553
b0065	507	76.47582683
b0066	145	23.93693186
b0067	177	12.67813532
b0068	299	35.06337745
b0069	333	23.20393061
b0070	264	25.8385286
b0071	150	28.56250489
b0072	264	21.74420073
b0073	190	20.07745307
b0074	296	21.7278536
b0075	1	1.326350802
b0076	50	6.105424327
b0077	243	16.25529409
b0078	55	12.8995703
b0080	3899	447.6770493
b0081	787	197.8516624
b0082	1204	147.4868299
b0083	219	69.0463438
b0084	1038	67.78575864
b0085	1394	108.1029386
b0086	1228	104.2693262
b0087	812	86.51775259
b0088	1504	131.7770309
b0089	845	78.31861784
b0090	969	104.6960222
b0091	2164	169.179819
b0092	1248	156.3625024
b0093	862	119.6971745
b0094	2063	188.4835853
b0095	9447	946.2787624
b0096	25974	3264.92953
b0097	1581	355.6249001
b0098	8600	366.7315854
b0099	160	47.34052093
b0101	259	150.9427405
b0102	663	102.8296245
b0103	391	72.65454949
b0104	2280	252.0066524
b0106	93	8.920618736
b0107	181	15.06929732
b0108	5	1.308305213
b0109	1149	148.3064935
b0110	367	76.71930209
b0111	910	122.8154304
b0112	694	58.28414026
b0113	772	116.448399
b0114	9478	410.5444078
b0115	11253	685.9545827
b0116	10516	851.5563073
b0117	69	4.294543616
b0118	48036	2133.562386
b0119	1181	375.4230464
b0120	520	75.47686828
b0121	1085	144.4070172
b0122	435	144.2406497
b0123	1167	86.82338528
b0124	1486	71.71613734
b0125	1627	349.6156977
b0126	1437	250.1041492
b0127	615	76.55490794
b0128	549	82.16665805
b0129	515	134.7554369
b0130	286	26.83110622
b0131	1766	534.8640155
b0132	208	26.57989381
b0133	2521	341.4372563
b0134	2555	370.8526893
b0135	3	0.279400774
b0136	3	0.579861908
b0137	7	1.332916895
b0138	3	0.607329051
b0139	12	0.532990853
b0140	0	0
b0141	1	0.197252171
b0142	70	16.8280758
b0143	2267	187.1207742
b0144	272	33.85843083
b0145	15173	3839.584874
b0146	2202	360.4174873
b0147	43	9.344403673
b0148	1306	62.01754355
b0149	2439	111.0226255
b0150	815	41.90949359
b0151	169	24.43776421
b0152	119	15.4115711
b0153	233	13.5584756
b0154	4148	373.6519688
b0155	1355	109.9556008
b0156	1925	643.8568132
b0157	222	41.053108
b0158	322	46.38750483
b0159	2580	425.9123047
b0160	510	38.76823787
b0161	1043	84.45922675
b0162	510	50.8205398
b0163	1547	461.2719072
b0164	66	9.367658432
b0166	3068	429.1203038
b0167	1428	61.64628441
b0168	2986	433.4114013
b0169	15188	2414.024229
b0170	27876	3775.448217
b0171	1275	202.6521525
b0172	6013	1243.468139
b0173	1607	154.9171088
b0174	3332	504.5772649
b0175	1472	197.9694512
b0176	2169	184.9862346
b0177	8782	416.5134026
b0178	5935	1409.165854
b0179	3773	424.3430576
b0180	1578	399.3188513
b0181	3227	471.9539434
b0182	1286	129.1512449
b0183	314	60.69221308
b0184	2236	74.0791485
b0185	2527	303.7467682
b0186	1206	64.96889769
b0187	277	81.95827686
b0188	777	69.02231552
b0189	344	155.6667718
b0190	382	80.73249552
b0191	127	34.64503549
b0192	865	140.3861176
b0193	107	14.96606014
b0194	7124	478.2177492
b0195	244	39.76804354
b0196	385	109.6941237
b0197	2998	423.9543802
b0198	670	118.2155784
b0199	789	88.22160669
b0200	15	3.005013536
b0201	0	0
b0202	0	0
b0203	0	0
b0204	0	0
b0205	0	0
b0206	1	1.498604153
b0207	50	7.176151727
b0208	708	89.28732677
b0209	1765	254.2669131
b0210	218	40.31341236
b0211	7906	671.2974697
b0212	335	51.13292874
b0213	381	60.80850627
b0214	677	166.9246493
b0215	1029	162.2116159
b0216	9	13.48743738
b0217	16	2.348957145
b0218	4	1.292913387
b0219	942	140.9854133
b0220	1213	295.2977352
b0221	1711	80.75116619
b0222	2582	514.5828775
b0223	651	97.81319059
b0224	2222	346.0218339
b0225	149	61.62539586
b0226	483	213.5424791
b0227	50	7.692834651
b0228	355	82.25771992
b0229	46	3.098689965
b0230	38	5.80015311
b0231	596	65.12683881
b0232	54	21.19454445
b0233	21	6.073290514
b0234	23	5.858781357
b0235	0	0
b0236	0	0
b0237	5859	463.7069776
b0238	649	163.1584866
b0239	1868	173.135122
b0240	3092	887.5464456
b0241	10	1.092732195
b0242	1310	136.924095
b0243	2472	227.4723356
b0244	4	6.073290514
b0245	0	0
b0246	0	0
b0247	1	0.241913039
b0248	1	0.251399825
b0249	5	2.404010829
b0250	337	83.09247684
b0251	4	1.03957225
b0252	15	2.105702916
b0253	304	40.60107177
b0254	43	5.550199497
b0256	0	0
b0258	386	40.19992115
b0259	2	0.226927276
b0260	285	23.42369525
b0261	1628	201.3494343
b0262	58	6.392326788
b0263	10	3.315877005
b0264	0	0
b0265	6	2.508533039
b0266	113	42.19855901
b0267	30	2.997208306
b0268	409	51.92028667
b0269	901	52.82960382
b0270	84	7.008656299
b0271	186	13.32278627
b0272	263	39.98449631
b0273	158	18.14131157
b0274	1	0.228953412
b0275	0	0
b0276	159	22.15870851
b0277	26	4.785016769
b0278	9	1.485740598
b0279	17	2.294354194
b0280	1168	305.6200977
b0281	365	30.06300479
b0283	142	17.12198308
b0284	362	18.99594914
b0285	70	8.440414194
b0286	85	14.21502055
b0287	122	22.89087384
b0288	10	3.496743023
b0289	89	14.44435198
b0290	131	9.194902731
b0291	68	3.106370287
b0292	7	1.207395573
b0293	25	4.906144548
b0294	1	0.19524961
b0295	17	8.603828229
b0296	6	2.622557268
b0297	0	0
b0298	0	0
b0299	2	0.26618805
b0300	73	12.31528354
b0301	148	28.75099819
b0303	29	14.1197598
b0304	539	46.90540585
b0305	91	12.28154304
b0306	206	33.01508205
b0307	334	26.98956695
b0308	129	21.38740668
b0310	6	1.034910491
b0311	401	27.69144251
b0312	677	53.0351228
b0313	303	59.46247192
b0314	619	35.11699594
b0315	67	7.099447957
b0316	256	31.6618275
b0317	3	0.695135661
b0318	19	3.617917287
b0319	5	0.667780786
b0320	18	1.341773486
b0321	19	1.545072499
b0323	39	4.732185353
b0324	513	42.80286525
b0325	1115	122.5358662
b0326	3	0.424237205
b0327	1	0.469075284
b0328	104	17.85836616
b0329	3306	1382.201704
b0330	439	31.92017403
b0331	577	74.7266935
b0333	260	25.64278217
b0334	440	34.96743023
b0335	604	36.93539054
b0336	65	5.952788718
b0337	601	54.01160778
b0338	102	13.07781891
b0339	1218	212.9516501
b0340	310	75.94836758
b0341	411	41.06175379
b0342	22	4.148097116
b0343	16	1.472312852
b0344	153	5.741481472
b0345	739	78.73967877
b0346	620	85.78340798
b0347	35	2.425668584
b0348	18	2.197952758
b0349	29	3.859726728
b0350	16	2.279358415
b0351	27	3.276128322
b0352	64	7.283157066
b0353	123	11.71062701
b0354	692	147.8733772
b0355	119	16.46487992
b0356	622	64.66139396
b0357	74	30.93857414
b0358	33	4.919836114
b0360	0	0
b0361	0	0
b0363	12	1.156817241
b0364	1	0.20679663
b0365	10	1.198260849
b0366	19	2.854762859
b0367	9	1.254266519
b0368	40	5.417489191
b0369	2131	252.2066253
b0372	22	2.928068552
b0373	4	1.53856693
b0375	2	0.36984782
b0376	797	79.41954945
b0377	388	36.66854846
b0378	568	59.85657647
b0379	54	20.16568307
b0380	1299	703.7318459
b0381	1587	167.2401177
b0382	876	387.2944342
b0383	510	41.56086517
b0384	853	306.6349513
b0385	47	4.859720815
b0386	1446	205.9970168
b0387	1182	297.1545934
b0388	1130	248.3686616
b0389	415	249.4161235
b0390	818	139.2198837
b0391	1778	719.887369
b0392	102	34.41531291
b0393	610	77.18140029
b0394	713	90.5114044
b0396	221	21.52046149
b0397	560	20.53378172
b0398	225	21.5821421
b0399	212	35.45393361
b0400	226	20.12246101
b0401	2199	192.2334477
b0402	824	69.2019187
b0403	379	24.09573829
b0404	378	74.94565717
b0405	961	103.5408137
b0406	1631	166.8485813
b0407	754	261.2791589
b0408	3333	208.1186517
b0409	2778	329.7946707
b0410	351	116.3872829
b0411	1472	191.9297052
b0412	95	20.30053589
b0413	1007	258.2228165
b0414	3225	337.0841271
b0415	1967	481.904642
b0416	3038	834.6725597
b0417	638	75.27651085
b0418	1396	310.3814212
b0419	4422	523.3494589
b0420	3082	190.8962673
b0421	2147	275.2752666
b0422	976	463.4695444
b0423	1744	138.8851308
b0424	517	100.9440486
b0425	648	81.98942194
b0426	3024	709.2418288
b0427	250	21.13416113
b0428	12046	1560.065424
b0429	1691	591.2992453
b0430	2272	426.2956178
b0431	12560	727.5753255
b0432	10554	1284.654698
b0433	610	47.6893205
b0434	873	173.9856127
b0435	5113	1855.352055
b0436	14592	1296.233756
b0437	6168	1140.610676
b0438	14355	1299.184017
b0439	7656	375.1359369
b0440	16135	6819.993797
b0441	5559	342.664005
b0442	309	95.8502382
b0443	308	89.07492754
b0444	675	111.9108489
b0445	322	21.84385148
b0446	527	74.25135277
b0447	300	75.41994756
b0448	571	37.16250919
b0449	488	31.60019621
b0450	154	52.42020072
b0451	456	40.88499535
b0452	1099	147.2896391
b0453	2241	451.2995407
b0454	1026	303.5710905
b0455	0	0
b0456	52	16.95031364
b0457	612	45.53205809
b0458	553	135.482088
b0459	236	49.33448309
b0460	279	147.0069088
b0461	330	101.5454174
b0462	8724	319.582331
b0463	2110	203.9181045
b0464	246	43.80641954
b0465	2116	72.60498717
b0466	230	163.8288861
b0467	358	78.23962515
b0468	314	95.85516193
b0469	848	177.2696681
b0470	4676	279.283345
b0471	722	252.4648463
b0472	1044	198.7950341
b0473	4096	252.0788059
b0474	4471	799.8759006
b0475	539	64.58625977
b0476	148	17.78968013
b0477	1529	135.1993584
b0478	2385	164.1092186
b0479	449	42.43344912
b0480	1489	103.9440181
b0481	162	38.94497542
b0482	326	47.3181905
b0483	472	159.2551735
b0484	3278	151.0006706
b0485	441	54.54244504
b0486	2683	239.4417096
b0487	1479	418.2978842
b0488	830	208.6618549
b0489	977	122.8088146
b0490	122	20.76384574
b0491	111	16.4212432
b0492	1483	200.1486629
b0493	624	88.89497819
b0494	327	60.18078782
b0495	452	75.92055158
b0496	719	34.35495723
b0497	194	5.229186834
b0498	1	0.312716856
b0499	0	0
b0501	4	0.940061261
b0502	139	38.00843661
b0503	349	36.77807251
b0504	8	0.995836201
b0505	19	4.53925026
b0506	2436	344.4806105
b0507	90	5.827905039
b0508	10	1.485103215
b0509	8	1.050216335
b0511	5	0.396537869
b0512	39	3.304191095
b0513	40	3.545085093
b0514	79	7.954632689
b0515	71	10.42349733
b0516	46	4.294543616
b0517	34	3.736519688
b0518	11	0.760981845
b0520	20	2.828248034
b0521	37	4.775753055
b0522	1624	175.4657791
b0523	417	94.3503544
b0524	297	47.40190646
b0525	1653	385.3410812
b0526	2114	176.0027322
b0527	29	6.410695543
b0528	81	43.88166245
b0529	2237	297.7313342
b0530	25	5.312731113
b0531	6	0.999069435
b0532	20	0.886271273
b0533	1	0.117268821
b0534	12	2.683546971
b0535	5	0.9114733
b0536	15	22.47906229
b0537	455	45.10618256
b0539	2	0.827186522
b0540	0	0
b0541	0	0
b0542	1	0.377099738
b0543	56	19.40534867
b0544	12	0.906817444
b0545	53	11.07935425
b0546	120	17.35225861
b0547	0	0
b0548	0	0
b0549	1	0.396537869
b0550	2	0.635771459
b0551	5	1.502506768
b0552	0	0
b0553	5267	553.5267775
b0554	8	4.273797029
b0555	17	3.939102081
b0556	0	0
b0557	50	19.62457819
b0558	1	0.280760389
b0559	11	6.13196965
b0560	0	0
b0561	1	0.263453241
b0562	18	3.171092146
b0563	11	6.936162391
b0564	122	18.77051655
b0565	365	44.14912968
b0566	24	3.634410072
b0567	82	10.61973807
b0568	572	22.20131897
b0569	280	14.43695511
b0570	194	15.51361666
b0571	318	53.64739954
b0572	11	0.923812021
b0573	1	0.346524083
b0574	15	1.414124017
b0575	137	5.02823639
b0576	530	44.41396912
b0577	483	44.65912424
b0578	959	169.2070741
b0579	137	42.84220924
b0580	133	61.63536197
b0581	1891	195.0020151
b0582	0	0
b0583	27	5.017066077
b0584	158	8.135661813
b0585	30	2.877618947
b0586	309	9.185030554
b0587	0	0
b0588	46	6.504970477
b0589	29	3.369972884
b0590	63	7.233560941
b0591	82	7.563698338
b0592	86	10.36965172
b0593	54	5.298636112
b0594	43	3.079998976
b0595	56	7.531446512
b0596	44	6.796882021
b0597	53	14.77247234
b0598	23097	1265.537051
b0599	530	56.15981219
b0600	644	64.0075648
b0601	34	6.227532813
b0602	16	1.512105091
b0603	4	0.511151804
b0604	239	36.91942734
b0605	10246	2096.297443
b0606	3004	221.3532116
b0607	2014	541.7261884
b0608	288	26.82247433
b0610	945	265.3185674
b0611	805	115.1065408
b0612	24	1.891680652
b0613	0	0
b0614	2	0.41808884
b0615	6	0.451634128
b0616	0	0
b0617	0	0
b0618	0	0
b0619	195	13.56331607
b0620	100	16.94456972
b0621	794	66.1050943
b0622	122	25.09427346
b0623	11566	6355.380399
b0624	157	47.17871251
b0627	1550	876.7568904
b0628	3074	367.2014553
b0629	7	0.846695638
b0630	230	41.3399993
b0631	729	318.640708
b0632	1504	143.1933579
b0633	1363	144.4260831
b0634	334	34.62812363
b0635	577	35.00603781
b0636	373	91.96882452
b0637	739	268.1606041
b0638	108	20.36338584
b0639	257	46.19295573
b0640	711	79.50007903
b0641	1267	251.2067398
b0642	9234	412.5182066
b0643	6104	1458.293873
b0644	57	6.725330907
b0645	1	0.162983785
b0646	3	0.24242126
b0647	0	0
b0648	8	1.30387028
b0649	80	6.357714588
b0650	77	5.317309409
b0651	1819	224.2510614
b0652	826	131.2868062
b0653	339	57.95268771
b0654	436	67.89627344
b0655	4280	543.3223153
b0656	6	0.680781828
b0657	1777	133.2374968
b0658	4172	547.6878185
b0659	811	199.9643879
b0660	1921	212.9385499
b0661	4345	351.8459638
b0662	1576	154.6416762
b0664	4	6.154267721
b0665	0	0
b0666	0	0
b0668	0	0
b0670	0	0
b0672	0	0
b0673	13	19.48185399
b0674	1427	98.8979734
b0675	1617	247.7950923
b0676	1400	132.3091955
b0677	722	72.50948588
b0678	783	112.7994294
b0679	4404	261.0111233
b0680	3955	274.10055
b0681	46	3.772605479
b0682	43	15.17393991
b0683	2828	730.0448454
b0684	1313	285.3302796
b0685	225	88.31060187
b0686	551	83.11278222
b0687	1216	256.9913993
b0688	7751	545.0380382
b0689	25	5.827905039
b0691	0	0
b0692	155	13.54987922
b0693	36	1.889099914
b0694	150	25.52931853
b0695	996	42.80482298
b0696	44	8.860856667
b0697	104	5.856916572
b0698	21	1.447576413
b0699	656	365.6883718
b0700	13	0.357678292
b0702	6	2.117293941
b0703	2	0.151732439
b0704	4	0.809772069
b0705	0	0
b0706	0	0
b0707	473	107.0209056
b0708	1269	103.194579
b0709	80	6.229015912
b0710	866	134.3144115
b0711	870	152.8028801
b0712	1299	160.6590388
b0713	806	126.5392802
b0714	246	35.84161599
b0715	86	9.478277651
b0716	6	0.65193514
b0717	3	0.474866337
b0718	8	0.377099738
b0719	3	0.610542433
b0720	9121	819.7002904
b0721	3325	983.7952006
b0722	408	135.2877818
b0723	11065	722.5909628
b0724	7743	1246.142651
b0726	28258	1163.726561
b0727	34188	3238.948658
b0728	28234	2791.767269
b0729	20930	2776.052229
b0730	253	40.3794018
b0731	20	1.167349719
b0732	389	17.04164396
b0733	37035	2723.748865
b0734	15797	1598.996171
b0735	776	304.5734535
b0736	387	110.2639633
b0737	511	85.08741357
b0738	361	97.10186396
b0739	1849	168.5314132
b0740	5841	521.2743295
b0741	6680	1476.67056
b0742	3467	505.1336693
b0743	337	511.6747258
b0744	47	71.36116354
b0745	6	9.109935771
b0746	33	50.10464674
b0747	6	9.109935771
b0748	144	218.6384585
b0749	2	3.036645257
b0750	313	34.59565008
b0751	554	88.78813327
b0752	368	45.07903108
b0753	2679	811.3820485
b0754	8890	974.2065534
b0755	4788	733.7309225
b0756	2332	258.4969799
b0757	1285	129.0508163
b0758	866	95.44405169
b0759	1075	121.9734108
b0760	424	33.21549788
b0761	741	108.3724425
b0762	131	100.7761339
b0763	423	63.06335383
b0764	260	43.48123933
b0765	509	55.46250478
b0766	301	42.40921667
b0767	2375	275.1578659
b0768	20	2.419130394
b0769	0	0
b0770	7	0.563282872
b0771	40	2.040539695
b0772	1380	124.0199979
b0773	853	206.3518226
b0774	124	11.09199415
b0775	67	7.426800024
b0776	38	3.796463854
b0777	29	4.426432637
b0778	34	5.786645534
b0779	6092	347.6613405
b0780	493	62.58362183
b0781	1655	192.9036568
b0782	829	186.4725125
b0783	540	128.2139109
b0784	43	20.1702372
b0785	533	135.7708897
b0786	3123	511.164311
b0787	43	6.949409454
b0788	148	17.84544715
b0789	321	29.82367057
b0790	223	33.76972691
b0791	2116	594.0889826
b0792	191	19.90963982
b0793	134	13.63544766
b0794	770	51.15270019
b0795	318	36.73155284
b0796	138	23.69667817
b0797	488	41.25388253
b0798	343	81.94541259
b0799	2653	142.3228057
b0800	1265	151.5799974
b0801	1151	122.2990702
b0802	161	71.18082637
b0803	154	66.55598519
b0804	23	3.914495508
b0805	28	1.415238963
b0806	359	158.7199793
