Gene_id	CIP_1_readcount	CIP_1_fpkm
b0001	80	208.0276594
b0002	674	46.96458791
b0003	622	114.4152127
b0004	1153	153.7537765
b0005	190	109.7923758
b0006	303	66.92627306
b0007	312	37.4188117
b0008	10540	1896.126324
b0009	882	257.4342286
b0010	296	89.59498137
b0011	38	9.133987568
b0013	9	3.813840423
b0014	8776	785.6869379
b0015	1539	233.5344991
b0016	3	0.4625952
b0018	2	1.634503038
b0019	2712	398.8355486
b0020	629	119.1509417
b0021	7	2.383650264
b0022	10	6.218218081
b0023	6349	4127.398781
b0024	13	10.18765592
b0025	1893	344.8853465
b0026	6755	411.5414067
b0027	1149	398.3729678
b0028	526	200.6080063
b0029	1085	195.8052142
b0030	589	110.4763283
b0031	522	108.9867537
b0032	1845	275.5823334
b0033	5315	283.1084057
b0034	155	67.17559836
b0035	20	5.807878817
b0036	17	3.711943923
b0037	73	8.062075798
b0038	79	11.13152931
b0039	212	31.83205392
b0040	26	2.945342109
b0041	38	8.458712222
b0042	24	4.372555899
b0043	22	2.933723402
b0044	0	0
b0045	18	2.319227284
b0046	91	29.41182021
b0047	540	49.74574465
b0048	1019	364.3409429
b0049	774	157.5753997
b0050	212	96.25406782
b0051	1450	302.7409825
b0052	1231	213.4017073
b0053	4607	614.3483507
b0054	6641	483.9690621
b0055	634	133.3442001
b0058	610	158.6210903
b0059	2587	152.7307303
b0060	3661	267.1390903
b0061	179	44.13862731
b0062	711	81.18684254
b0063	522	52.66732013
b0064	855	166.9368718
b0065	808	181.2695919
b0066	260	63.83681395
b0067	404	43.03886958
b0068	749	130.6356621
b0069	252	26.11651594
b0070	351	51.09381636
b0071	91	25.77174345
b0072	146	17.88503325
b0073	94	14.77339285
b0074	91	9.934908736
b0075	6	11.83605649
b0076	59	10.71507547
b0077	109	10.84457233
b0078	27	9.418325435
b0080	2471	421.9701352
b0081	1005	375.7754535
b0082	1222	222.6359712
b0083	236	110.6638942
b0084	1638	159.0934791
b0085	1662	191.6916164
b0086	1520	191.9548822
b0087	1148	181.9233576
b0088	1673	218.0144087
b0089	1227	169.1415253
b0090	1607	258.2377062
b0091	2440	283.7125193
b0092	1537	286.4107197
b0093	1369	282.7336213
b0094	2562	348.1374999
