Gene_id	ERY_1_readcount	ERY_1_fpkm
b0001	45	117.5910486
b0002	2429	170.0860862
b0003	1482	273.9505929
b0004	1520	203.6904773
b0005	90	52.26268826
b0006	170	37.7340645
b0007	89	10.72645111
b0008	17557	3174.005093
b0009	674	197.6916177
b0010	139	42.28023828
b0011	11	2.657052639
b0013	2	0.851688253
b0014	16487	1483.287067
b0015	1737	264.8761763
b0016	2	0.309913515
b0018	0	0
b0019	2872	424.4428914
b0020	556	105.8405965
b0021	0	0
b0022	4	2.499519873
b0023	2391	1562.001095
b0024	34	26.77567864
b0025	2410	441.2369
b0026	9012	551.7470514
b0027	1079	375.9429376
b0028	817	313.1231863
b0029	1503	272.5738249
b0030	201	37.88616516
b0031	613	128.6158055
b0032	54	8.105492645
b0033	153	8.18976763
b0034	17	7.403880837
b0035	12	3.501865406
b0036	3	0.658270501
b0037	63	6.991900187
b0038	96	13.59344798
b0039	187	28.21636477
b0040	10	1.13839519
b0041	3	0.67107732
b0042	5	0.915429253
b0043	6	0.804041358
b0044	0	0
b0045	2	0.258959266
b0046	51	16.56461475
b0047	449	41.56608975
b0048	1206	433.3230141
b0049	1044	213.5888655
b0050	283	129.1220227
b0051	1151	241.4955825
b0052	964	167.9374383
b0053	6627	888.0636798
b0054	5203	381.0382723
b0055	751	158.7287014
b0058	330	86.23343563
b0059	1420	84.24594331
b0060	517	37.91044747
b0061	24	5.947133492
b0062	160	18.35974678
b0063	116	11.76140921
b0064	259	50.81788357
b0065	433	97.61850361
b0066	88	21.71256748
b0067	135	14.45253111
b0068	352	61.69546615
b0069	217	22.59982552
b0070	211	30.86557238
b0071	169	48.09719677
b0072	503	61.920654
b0073	590	93.18265023
b0074	772	84.69747113
b0075	2	3.964755661
b0076	14	2.55506476
b0077	204	20.39608217
b0078	70	24.53796949
b0080	1555	266.8517262
b0081	635	238.5979592
b0082	878	160.7493768
b0083	159	74.9241326
b0084	529	51.63269661
b0085	918	106.4009327
b0086	1145	145.3087326
b0087	972	154.7902113
b0088	1255	164.3477019
b0089	727	100.7095706
b0090	806	130.1575826
b0091	1116	130.4017807
b0092	829	155.2389102
b0093	739	153.373066
b0094	1330	181.6159452
b0095	5455	816.6725545
b0096	14777	2776.190585
b0097	1102	370.4843901
b0098	4780	304.6532316
b0099	154	68.10230301
b0101	209	182.0483641
b0102	509	117.9914482
b0103	749	208.0155984
b0104	438	72.35679082
b0106	54	7.741655069
b0107	80	9.954797764
b0108	5	1.955406704
b0109	439	84.69010793
b0110	312	97.48127507
b0111	747	150.6815823
b0112	347	43.55604391
b0113	852	192.0807507
b0114	9332	604.151968
b0115	7271	662.4440681
b0116	9970	1206.662952
b0117	46	4.279113311
b0118	15988	1061.355018
b0119	410	194.7972926
b0120	519	112.5915801
b0121	804	159.9346765
b0122	613	303.7994026
b0123	616	68.49748079
b0124	1083	78.11862049
b0125	925	297.0798062
b0126	3409	886.7866729
b0127	949	176.5599362
b0128	943	210.941971
b0129	236	92.29519642
b0130	167	23.41623374
b0131	2881	1304.139255
b0132	66	12.60555205
b0133	1194	241.6965309
b0134	1007	218.4580369
b0135	4	0.556793773
b0136	1	0.288889232
b0137	4	1.13839519
b0138	2	0.605146917
b0139	4	0.265537908
b0140	0	0
b0141	1	0.294815165
b0142	27	9.701261509
b0143	1488	183.5698887
b0144	213	39.62831023
b0145	3177	1201.594847
b0146	1045	255.6423837
b0147	71	23.06054211
b0148	1041	73.88395596
b0149	1253	85.24693874
b0150	1901	146.1049565
b0151	520	112.3844274
b0152	127	24.58282004
b0153	588	51.13994973
b0154	2202	296.465301
b0155	453	54.94197798
b0156	959	479.4079117
b0157	193	53.34311884
b0158	200	43.06288921
b0159	2167	534.6719743
b0160	190	21.58676254
b0161	1500	181.544075
b0162	279	41.55289904
b0163	755	336.4663768
b0164	37	7.849045802
b0166	2396	500.8856043
b0167	1133	73.10324173
b0168	1235	267.920234
b0169	20890	4962.579808
b0170	7582	1534.793214
b0171	927	220.2159637
b0172	8057	2490.260899
b0173	971	139.9042038
b0174	2528	572.1735572
b0175	1470	295.485199
b0176	2593	330.5296358
b0177	9055	641.8773199
b0178	5445	1932.267724
b0179	3974	668.0149575
b0180	1260	476.5531969
b0181	2046	447.2334837
b0182	834	125.1848308
b0183	254	73.37786483
b0184	2512	124.3860984
b0185	2481	445.7190704
b0186	610	49.11521544
b0187	161	71.19786224
b0188	926	122.9440514
b0189	168	113.6252328
b0190	246	77.70485409
b0191	80	32.61784799
b0192	759	184.1102044
b0193	55	11.49779142
b0194	5783	580.2070486
b0195	291	70.88680726
b0196	635	270.4110204
b0197	1124	237.5646609
b0198	269	70.93820852
b0199	363	60.66421925
b0200	1	0.299421652
b0201	0	0
b0202	0	0
b0203	0	0
b0204	0	0
b0205	0	0
b0206	0	0
b0207	27	5.791797916
b0208	377	71.06012073
b0209	1071	230.6017717
b0210	176	48.64450215
b0211	5513	699.6393387
b0212	100	22.81307821
b0213	107	25.52414277
b0214	338	124.559407
b0215	890	209.6933271
b0216	11	24.63812447
b0217	6	1.316541002
b0218	0	0
b0219	519	116.0963764
b0220	1062	386.4131166
b0221	3489	246.1091672
b0222	1288	383.6568743
b0223	512	114.9779142
b0224	3940	917.0303277
b0225	67	41.41677554
b0226	289	190.9690644
b0227	33	7.588542336
b0228	124	42.94355831
b0229	13	1.308855415
b0230	21	4.790746424
b0231	270	44.09664322
b0232	13	7.626086145
b0233	3	1.296743393
b0234	19	7.233709833
b0235	0	0
b0236	2	0.688490504
