Gene_id	IPM_2_readcount	IPM_2_fpkm
b0001	30	69.32515992
b0002	1176	72.82097188
b0003	769	125.7066512
b0004	897	106.2985785
b0005	106	54.43308853
b0006	273	53.58647496
b0007	254	27.0712085
b0008	11062	1768.474656
b0009	774	200.7600039
b0010	203	54.60426176
b0011	14	2.990497094
b0013	1	0.376581116
b0014	27006	2148.580903
b0015	3086	416.1471049
b0016	1	0.137030864
b0018	2	1.45252716
b0019	3665	478.9792326
b0020	1077	181.3013619
b0021	2	0.60521965
b0022	4	2.210367418
b0023	4465	2579.473659
b0024	37	25.76743387
b0025	2384	385.9836505
b0026	6514	352.674832
b0027	954	293.938678
b0028	588	199.2867264
b0029	1299	208.3253859
b0030	107	17.83512857
b0031	411	76.25767591
b0032	360	47.78548882
b0033	380	17.98753373
b0034	38	14.63531154
b0035	3	0.774189603
b0036	2	0.388079776
b0037	43	4.220180263
b0038	138	17.28006449
b0039	510	68.05146931
b0040	8	0.805361594
b0041	3	0.593444949
b0042	2	0.323811787
b0043	7	0.829531828
b0044	0	0
b0045	2	0.22900203
b0046	32	9.191132313
b0047	185	15.14511008
b0048	714	226.8665858
b0049	842	152.3344321
b0050	293	118.2195716
b0051	1616	299.8355335
b0052	1141	175.7777944
b0053	3900	462.1677328
b0054	6544	423.8048672
b0055	723	135.1330875
b0058	290	67.01432125
b0059	1502	78.80222168
b0060	1275	82.6773272
b0061	28	6.135675073
b0062	49	4.972223712
b0063	27	2.4208786
b0064	297	51.53249089
b0065	455	90.7117452
b0066	76	16.58249891
b0067	168	15.90476667
b0068	368	57.03826165
b0069	356	32.78711669
b0070	254	32.857421
b0071	34	8.556966933
b0072	84	9.144389402
b0073	82	11.45261799
b0074	60	5.821196634
b0075	0	0
b0076	32	5.164541014
b0077	198	17.50610995
b0078	21	6.509801602
b0080	2037	309.128131
b0081	1851	615.0455691
b0082	1868	302.4402093
b0083	167	69.59033812
b0084	1037	89.5067458
b0085	2136	218.9333276
b0086	2063	231.5225686
b0087	1899	267.4299659
b0088	3499	405.2021382
b0089	2337	286.2878532
b0090	2321	331.4495614
b0091	3597	371.6786724
b0092	2265	375.0784711
b0093	1779	326.5039842
b0094	3204	386.9035528
b0095	6834	904.7655506
b0096	29255	4860.388472
b0097	1800	535.1415853
b0098	8360	471.1856398
b0099	162	63.35253075
b0101	95	73.17655769
b0102	422	86.50736353
b0103	375	92.0986424
b0104	698	101.9690762
b0106	66	8.367425785
b0107	156	17.16623007
b0108	6	2.0750388
b0109	1067	182.028949
b0110	443	122.3990957
b0111	827	147.520697
b0112	377	41.84737091
b0113	7989	1592.738752
b0114	33776	1933.693139
b0115	18163	1463.35781
b0116	11855	1268.820699
b0117	51	4.195406118
b0118	22645	1329.372649
b0119	789	331.5003101
b0120	659	126.4246753
b0121	849	149.3489431
b0122	361	158.2127644
b0123	1562	153.597021
b0124	1089	69.46433213
b0125	1508	428.2926453
b0126	781	179.6598639
b0127	650	106.9417246
b0128	472	93.36867193
b0129	188	65.01788241
b0130	208	25.79121397
b0131	1207	483.1654321
b0132	89	15.03196712
b0133	1215	217.4954841
b0134	1347	258.4128036
b0135	7	0.861668654
b0136	1	0.255469601
b0137	0	0
b0138	1	0.267570793
b0139	0	0
b0140	0	0
b0141	2	0.521420006
b0142	32	10.16769012
b0143	1881	205.208424
b0144	123	20.2366648
b0145	4154	1389.361341
b0146	1160	250.9472455
b0147	95	27.28617405
b0148	1574	98.78977932
b0149	1475	88.74167413
b0150	664	45.12931979
b0151	323	61.73240431
b0152	227	38.8563242
b0153	458	35.22543174
b0154	2225	264.9076173
b0155	890	95.45616253
b0156	1667	736.936497
b0157	204	49.86078809
b0158	303	57.69307316
b0159	1519	331.4317874
b0160	304	30.54325886
b0161	1658	177.4529497
b0162	118	15.54128801
b0163	1260	496.5616106
b0164	48	9.004596417
b0166	1762	325.7358181
