Gene_id	KAN_3_readcount	KAN_3_fpkm
b0001	22	54.92758677
b0002	6907	462.1009035
b0003	1857	327.9759763
b0004	2429	311.0002523
b0005	322	178.653363
b0006	234	49.62569615
b0007	216	24.87286948
b0008	2680	462.9117375
b0009	869	243.5309842
b0010	423	122.9331704
b0011	39	9.000739008
b0013	9	3.661839118
b0014	18665	1604.418477
b0015	2681	390.6123611
b0016	5	0.740263973
b0018	0	0
b0019	3426	483.7581292
b0020	448	81.48198302
b0021	10	3.269499212
b0022	16	9.552623785
b0023	1539	960.6085913
b0024	47	35.36433668
b0025	1419	248.2237122
b0026	7223	422.5153985
b0027	908	302.2681744
b0028	519	190.0494502
b0029	952	164.9560334
b0030	261	47.00360704
b0031	212	42.49871677
b0032	413	59.23000871
b0033	789	40.3518305
b0034	119	49.51805171
b0035	167	46.56297964
b0036	146	30.60850255
b0037	126	13.36076435
b0038	259	35.04001225
b0039	690	99.47515713
b0040	132	14.35730981
b0041	61	13.03728713
b0042	67	11.72021756
b0043	66	8.450397964
b0044	3	1.716487086
b0045	46	5.690695926
b0046	78	24.20537722
b0047	354	31.31137796
b0048	503	172.6786009
b0049	200	39.0943678
b0050	84	36.61839118
b0051	334	66.95552547
b0052	516	85.88677203
b0053	3578	458.1139987
b0054	1405	98.30988459
b0055	534	107.835777
b0058	261	65.16409157
b0059	899	50.95964964
b0060	788	55.20782955
b0061	29	6.865948346
b0062	135	14.80084673
b0063	166	16.08109242
b0064	1759	329.7529868
b0065	4743	1021.653114
b0066	158	37.24703309
b0067	361	36.9252492
b0068	458	76.69766689
b0069	454	45.17594998
b0070	652	91.12668339
b0071	58	15.77128729
b0072	177	20.81837871
b0073	190	28.67099309
b0074	248	25.99626244
b0075	23	43.56325847
b0076	112	19.52980863
b0077	370	35.34470801
b0078	109	36.50674974
b0080	1388	227.5805684
b0081	912	327.4114976
b0082	1150	201.1679133
b0083	107	48.17419495
b0084	870	81.13242867
b0085	324	35.88011716
b0086	334	40.49848561
b0087	329	50.05865941
b0088	403	50.42327441
b0089	493	65.25132596
b0090	809	124.821398
b0091	1101	122.9172216
b0092	917	164.0670914
b0093	903	179.059967
b0094	1698	221.5369176
b0095	3109	444.713196
b0096	27529	4941.508288
b0097	266	85.44291275
b0098	1481	90.18598226
b0099	89	37.60427094
b0101	54	44.94075281
b0102	370	81.94841574
b0103	136	36.08768986
b0104	1907	300.996862
b0106	137	18.76578401
b0107	276	32.813883
b0108	22	8.220455162
b0109	283	52.16277535
b0110	120	35.82233919
b0111	328	63.21490687
b0112	1042	124.9662564
b0113	988	212.8174734
b0114	3399	210.2464723
b0115	2360	205.4343974
b0116	8315	961.521861
b0117	78	6.932608038
b0118	17467	1107.875471
b0119	579	262.8353119
b0120	87	18.03283037
b0121	470	89.32860131
b0122	153	72.44759289
b0123	1042	110.7051168
b0124	1396	96.20942425
b0125	580	177.9776554
b0126	487	121.0395238
b0127	298	52.97223578
b0128	522	111.5649817
b0129	174	65.01632719
b0130	645	86.41047186
b0131	1047	452.8282153
b0132	298	54.38013573
b0133	679	131.32335
b0134	860	178.2555646
b0135	275	36.57405898
b0136	15	4.140270359
b0137	39	10.60483111
b0138	33	9.540054543
b0139	158	10.02143038
b0140	13	2.890925619
