Gene_id	MMC_4_readcount	MMC_4_fpkm
b0001	31	73.60965782
b0002	539	34.29583601
b0003	432	72.56365396
b0004	610	74.27939002
b0005	108	56.98812218
b0006	297	59.9035377
b0007	275	30.11688847
b0008	13486	2215.398316
b0009	803	214.0204435
b0010	239	66.0589829
b0011	53	11.63307956
b0013	12	4.643476622
b0014	31330	2561.269764
b0015	2970	411.5388929
b0016	3	0.422418695
b0018	3	2.238819086
b0019	3793	509.3649147
b0020	997	172.4582605
b0021	4	1.243788381
b0022	7	3.974715043
b0023	4406	2615.517358
b0024	22	15.74329403
b0025	1551	258.0345946
b0026	3929	218.5809063
b0027	518	163.9991516
b0028	375	130.59778
b0029	715	117.8263883
b0030	221	37.85194673
b0031	351	66.91944639
b0032	1393	189.9976058
b0033	3146	153.0207135
b0034	130	51.4476103
b0035	40	10.60692629
b0036	50	9.969296183
b0037	134	13.51359268
b0038	150	19.30016453
b0039	393	53.88443836
b0040	48	4.965301734
b0041	35	7.114275953
b0042	39	6.48829735
b0043	55	6.697322051
b0044	0	0
b0045	51	6.00043854
b0046	33	9.739495457
b0047	232	19.51606117
b0048	643	209.9359313
b0049	665	123.6263683
b0050	218	90.38195568
b0051	1051	200.3770318
b0052	610	96.56320703
b0053	2734	332.9177907
b0054	4918	327.276373
b0055	707	135.7832801
b0058	341	80.9706236
b0059	1566	84.42358038
b0060	3701	246.603257
b0061	21	4.72854031
b0062	74	7.715956662
b0063	81	7.462730285
b0064	371	66.1457698
b0065	440	90.1380756
b0066	108	24.21383732
b0067	184	17.89943502
b0068	452	71.98804458
b0069	369	34.92071074
b0070	288	38.28209734
b0071	63	16.29239632
b0072	118	13.19960432
b0073	88	12.62923587
b0074	103	10.26837507
b0075	2	3.602697379
b0076	88	14.59378367
b0077	185	16.80736647
b0078	41	13.059778
b0080	1715	267.4330659
b0081	1529	522.0496879
b0082	1968	327.4094663
b0083	244	104.478224
b0084	1311	116.2741525
b0085	1618	170.4090387
b0086	1361	156.9479722
b0087	1260	182.3304186
b0088	2016	239.8953298
b0089	1348	169.682706
b0090	1463	214.6792721
b0091	2259	239.8539716
b0092	1598	271.9156383
b0093	1209	228.003922
b0094	1886	234.0212951
b0095	5275	717.6075932
b0096	24867	4245.196072
b0097	1429	436.5479008
b0098	6877	398.2797929
b0099	245	98.45063415
b0101	122	96.56320703
b0102	284	59.8222089
b0103	276	69.65214933
b0104	1008	151.3132899
b0106	121	15.76292407
b0107	160	18.09146736
b0108	19	6.751994068
b0109	1021	178.9803133
b0110	344	97.66442678
b0111	689	126.2903444
b0112	376	42.88625788
b0113	3003	615.192366
b0114	29639	1743.598019
b0115	15904	1316.657428
b0116	10615	1167.406682
b0117	75	6.339698058
b0118	16006	965.5187375
b0119	940	405.8245064
b0120	820	161.6455541
b0121	1049	189.6153235
b0122	379	170.6777883
b0123	591	59.71627696
b0124	603	39.52344358
b0125	1151	335.9062453
b0126	618	146.0804127
b0127	715	120.8769096
b0128	418	84.96478138
b0129	266	94.52791695
b0130	246	31.3434672
b0131	1291	531.0290834
b0132	110	19.09070538
b0133	1340	246.4803172
b0134	1280	252.3247674
b0135	43	5.438939022
b0136	18	4.725145809
b0137	10	2.586094653
b0138	5	1.374713474
b0139	38	2.292247409
b0140	16	3.383910089
b0141	14	3.750500349
b0142	54	17.6307003
b0143	1403	157.2778415
b0144	83	14.03186504
b0145	3638	1250.301904
b0146	1379	306.5435551
b0147	55	16.23249243
b0148	1101	71.00649668
b0149	1264	78.14229298
b0150	663	46.30284927
b0151	167	32.79673573
b0152	66	11.60869156
b0153	334	26.39616249
b0154	1930	236.1158926
b0155	629	69.32152204
b0156	2107	957.1113824
b0157	259	65.04774042
b0158	295	57.71737093
b0159	1578	353.7910675
b0160	341	35.20461896
b0161	1724	189.6004823
b0162	168	22.73619382
b0163	2074	839.8753355
b0164	81	15.61390432
b0166	1688	320.6531675
b0167	1635	95.85964996
b0168	2182	430.1348769
b0169	12327	2660.95675
b0170	5003	920.2544976
b0171	1539	332.2148486
b0172	4733	1329.288802
b0173	1076	140.8753998
b0174	3107	639.0036259
b0175	1341	244.9393328
b0176	2398	277.7591809
b0177	6881	443.2272869
b0178	3108	1002.217038
b0179	2511	383.5450591
b0180	1111	381.8266673
b0181	1935	384.3447974
b0182	866	118.1176788
b0183	270	70.87718713
b0184	2121	95.43424337
b0185	1286	209.9359313
b0186	484	35.41138684
b0187	138	55.45382658
b0188	396	47.77526178
b0189	146	89.72835708
b0190	317	90.98790386
b0191	83	30.75068295
b0192	497	109.5478425
b0193	100	18.99604073
b0194	3876	353.3661398
b0195	201	44.49178607
b0196	259	100.2217038
b0197	571	109.6637241
b0198	150	35.94434312
b0199	167	25.36026658
b0200	11	2.992865792
b0201	0	0
b0202	0	0
b0203	0	0
b0204	0	0
b0205	0	0
b0206	0	0
b0207	54	10.52579122
b0208	288	49.32742379
b0209	988	193.3042796
b0210	144	36.16553908
b0211	10578	1219.835158
b0212	261	54.10479457
b0213	326	70.66369507
b0214	575	192.548009
b0215	665	142.3729897
b0216	16	32.56464125
b0217	75	14.95394427
b0218	10	4.389841344
b0219	546	110.9827049
b0220	861	284.6700977
b0221	1065	68.26337948
b0222	1237	334.8175209
b0223	485	98.96863015
b0224	1672	353.6186043
b0225	128	71.89899286
b0226	256	153.7150882
b0227	53	11.07469174
b0228	95	29.89587735
b0229	76	6.953016658
b0230	36	7.462730285
b0231	2589	384.224605
b0232	90	47.97469469
b0233	62	24.35206725
b0234	76	26.29253319
b0235	8	6.056708637
b0236	12	3.753708647
b0237	3859	414.7957473
b0238	971	331.5305735
b0239	1453	182.8998307
b0240	1919	748.1108651
b0241	21	3.116537932
b0242	508	72.11268721
b0243	584	72.98478805
b0244	35	72.17245737
b0245	6	2.749426947
b0246	6	2.956930868
b0247	9	2.956930868
b0248	10	3.414321046
b0249	2	1.3059778
b0250	185	61.95022897
b0251	4	1.411867892
b0252	30	5.719610803
b0253	150	27.20787083
b0254	64	11.21913815
b0256	0	0
b0258	220	31.11716058
b0259	1	0.154097676
b0260	166	18.52925767
b0261	573	96.24762436
b0262	71	10.62744112
b0263	11	4.953708896
b0264	0	0
b0265	0	0
b0266	39	19.77985794
b0267	45	6.105870234
b0268	150	25.86094653
b0269	448	35.67549112
b0270	61	6.912333692
b0271	140	13.61913534
b0272	138	28.49406109
b0273	144	22.45502128
b0274	2	0.62189419
b0275	0	0
b0276	221	41.82914403
b0277	45	11.24765569
b0278	33	7.398672515
b0279	27	4.948968505
b0280	239	84.93297801
b0281	175	19.57568437
b0283	103	16.86717409
b0284	248	17.67435167
b0285	50	8.187948589
b0286	65	14.7632273
b0287	82	20.8956448
b0288	21	9.972921381
b0289	64	14.10676442
b0290	80	7.626147737
b0291	97	6.018044969
b0292	8	1.874048861
b0293	27	7.196204204
b0294	20	5.303463147
b0295	37	25.43219926
b0296	33	19.589667
b0297	31	5.571373183
b0298	0	0
b0299	3	0.542274519
b0300	51	11.68506453
b0301	60	15.83003394
b0303	3	1.983763747
b0304	98	11.58242755
b0305	74	13.56383961
b0306	67	14.58341877
b0307	128	14.0474923
b0308	54	12.15910365
b0310	17	3.982353829
b0311	651	61.05504831
b0312	1031	109.6914959
b0313	363	96.74896763
b0314	893	68.80461212
b0315	93	13.38357415
b0316	120	20.15657055
b0317	38	11.95835094
b0318	59	15.25795845
b0319	18	3.2649445
b0320	62	6.276792527
b0321	62	6.847410029
b0323	35	5.767725299
b0324	195	22.09680442
b0325	318	47.46296462
b0326	20	3.841111176
b0327	23	14.65243385
b0328	79	18.42361539
b0329	3422	1943.06784
b0330	124	12.24508485
b0331	431	75.80827364
b0333	233	31.20952076
b0334	265	28.60199314
b0335	377	31.31024678
b0336	253	31.46784604
b0337	557	67.984078
b0338	48	8.35825792
b0339	32	7.598416291
b0340	15	4.990997962
b0341	79	10.71919441
b0342	42	10.75511129
b0343	54	6.748593416
b0344	166	8.460187894
b0345	434	62.80269974
b0346	225	42.27985683
b0347	50	4.706226306
b0348	39	6.467699581
b0349	38	6.868810574
b0350	32	6.191302163
b0351	17	2.801466574
b0352	64	9.891429491
b0353	106	13.70630166
