Gene_id	PME_1_readcount	PME_1_fpkm
b0001	45	106.0849207
b0002	1323	83.57579382
b0003	666	111.0651131
b0004	886	107.1125239
b0005	228	119.4437626
b0006	230	46.05660222
b0007	390	42.40431492
b0008	8292	1352.371459
b0009	505	133.6285113
b0010	198	54.33344088
b0011	24	5.229956876
b0013	0	0
b0014	19572	1588.540063
b0015	2731	375.7025763
b0016	1	0.139794445
b0018	2	1.481821115
b0019	3969	529.170129
b0020	757	130.002816
b0021	1	0.308712732
b0022	1	0.563736294
b0023	3195	1883.007343
b0024	62	44.04865506
b0025	1121	185.1568517
b0026	3568	197.0711617
b0027	663	208.3979332
b0028	547	189.1297683
b0029	885	144.7930884
b0030	141	23.97635148
b0031	527	99.75251994
b0032	29	3.927019404
b0033	132	6.374314293
b0034	40	15.71628455
b0035	17	4.475551083
b0036	12	2.375438428
b0037	24	2.402953159
b0038	49	6.259416778
b0039	128	17.42403831
b0040	4	0.410801893
b0041	6	1.210826592
b0042	4	0.660684574
b0043	10	1.208944966
b0044	0	0
b0045	6	0.700861338
b0046	75	21.9761606
b0047	405	33.82417762
b0048	715	231.7660837
b0049	995	183.6456239
b0050	345	142.0078568
b0051	1513	286.3862669
b0052	960	150.8763317
b0053	4576	553.2132162
b0054	7940	524.5835514
b0055	422	80.46506569
b0058	376	88.63984487
b0059	1451	77.66180116
b0060	1294	85.60163048
b0061	35	7.824270973
b0062	164	16.9773517
b0063	69	6.311460304
b0064	379	67.08654297
b0065	426	86.64295225
b0066	76	16.91692775
b0067	93	8.981988322
b0068	245	38.73968311
b0069	271	25.46208927
b0070	147	19.39941383
b0071	140	35.94516566
b0072	137	15.21484421
b0073	128	18.23779834
b0074	76	7.52222169
b0075	0	0
b0076	44	7.244458784
b0077	105	9.470769734
b0078	23	7.273573155
b0080	1459	225.8781947
b0081	824	279.3184376
b0082	997	164.6756299
b0083	133	56.53997779
b0084	811	71.41170178
b0085	1614	168.7662798
b0086	1458	166.9256766
b0087	1303	187.1979278
b0088	1902	224.7034889
b0089	1224	152.9667869
b0090	1334	194.3433367
b0091	2191	230.9623012
b0092	1407	237.6947257
b0093	1133	212.135799
b0094	2022	249.0937774
b0095	6504	878.4420797
b0096	18778	3182.670887
b0097	1175	356.3736453
b0098	4480	257.593737
b0099	99	39.49623202
b0101	122	95.86933577
b0102	271	56.67368256
b0103	225	56.37362937
b0104	468	69.74778696
b0106	41	5.302776309
b0107	96	10.77688084
b0108	7	2.469701858
b0109	771	134.1843718
b0110	252	71.03077301
b0111	443	80.61626802
b0112	379	42.91781024
b0113	549	111.6595793
b0114	5568	325.1996609
b0115	5314	436.7732316
b0116	5189	566.5704037
b0117	49	4.112173482
b0118	17173	1028.47112
b0119	1155	495.0629634
b0120	613	119.9715925
b0121	817	146.6182518
b0122	398	177.946277
b0123	1157	116.0664334
b0124	2443	158.9750495
b0125	1013	293.508199
b0126	717	168.2638049
b0127	619	103.8953219
b0128	442	89.19755894
b0129	204	71.97416844
b0130	234	29.60028032
b0131	822	335.684988
b0132	70	12.06133466
b0133	860	157.0521675
b0134	782	153.0469582
b0135	4	0.502312242
b0136	1	0.260621804
b0137	2	0.513502367
b0138	5	1.364835237
b0139	5	0.299444221
b0140	0	0
b0141	1	0.265967892
b0142	27	8.75200596
b0143	1161	129.2141652
b0144	196	32.89738786
b0145	6142	2095.704507
b0146	3090	681.9529939
b0147	37	10.84157256
b0148	684	43.79604628
b0149	1237	75.92360375
b0150	545	37.78841947
b0151	149	29.05149291
b0152	76	13.27152918
b0153	155	12.16169372
b0154	1501	182.3125814
b0155	2255	246.7357204
b0156	1167	526.3042038
b0157	80	19.94759193
b0158	155	30.1081631
b0159	859	191.2058018
b0160	319	32.69670503
b0161	1552	169.4579431
b0162	122	16.39216622
b0163	1767	710.4126112
b0164	46	8.803439096
b0166	1441	271.7659925
b0167	537	31.25794372
b0168	1432	280.2599029
b0169	7895	1692.000907
b0170	4797	876.0223806
b0171	837	179.3799569
b0172	4860	1355.14931
b0173	1690	219.6734811
b0174	1827	373.0513826
b0175	901	163.3889121
b0176	1585	182.2705684
b0177	6141	392.7191385
b0178	3056	978.3678176
b0179	3204	485.8813445
b0180	1068	364.4110084
b0181	1554	306.4496214
b0182	767	103.8628925
b0183	239	62.28861119
b0184	2020	90.23665187
b0185	1515	245.5423894
b0186	2116	153.7026215
b0187	371	148.0111321
b0188	585	70.06994764
b0189	236	143.998146
b0190	227	64.68719098
b0191	128	47.08197585
b0192	1056	231.089065
b0193	43	8.109602829
b0194	3615	327.2031703
b0195	139	30.54686324
b0196	251	96.42813699
b0197	1270	242.1578991
b0198	259	61.61792847
b0199	227	34.22403709
b0200	14	3.78173097
b0201	0	0
b0202	0	0
b0203	0	0
b0204	0	0
b0205	0	0
b0206	0	0
b0207	24	4.644513942
b0208	236	40.13063085
b0209	1525	296.2254757
b0210	185	46.12880634
b0211	3338	382.165918
b0212	259	53.30439844
b0213	329	70.80153584
b0214	384	127.6645884
b0215	596	126.6835592
b0216	8	16.16532125
b0217	7	1.385672417
b0218	0	0
b0219	793	160.0309146
b0220	2693	883.9813239
b0221	3308	210.5095076
b0222	1119	300.7021967
b0223	307	62.19596828
b0224	1514	317.901623
b0225	146	81.42049352
b0226	309	184.2056938
b0227	87	18.04858118
b0228	104	32.49294493
b0229	88	7.993010567
b0230	36	7.409105574
b0231	486	71.60732149
b0232	72	38.10397153
b0233	43	16.76797577
b0234	52	17.86036046
b0235	1	0.751648392
b0236	5	1.552806558
b0237	3622	386.5235859
b0238	447	151.5234728
b0239	864	107.9765555
b0240	1722	666.4877507
b0241	6	0.884041006
b0242	601	84.70137813
b0243	848	105.2163892
b0244	10	20.47252856
b0245	0	0
b0246	0	0
b0247	1	0.326187038
b0248	0	0
b0249	1	0.648296738
b0250	324	107.7169964
b0251	4	1.401722676
b0252	16	3.028539505
b0253	215	38.71772184
b0254	49	8.527930242
b0256	0	0
b0258	199	27.94463195
b0259	0	0
b0260	186	20.61251166
b0261	515	85.88368359
b0262	31	4.606807764
b0263	0	0
b0264	0	0
b0265	0	0
b0266	58	29.20482391
b0267	28	3.771908292
b0268	152	26.01745324
b0269	334	26.40623298
b0270	95	10.68775533
b0271	228	22.02035847
b0272	90	18.44955143
b0273	83	12.84982191
b0274	1	0.308712732
b0275	0	0
b0276	98	18.41538559
b0277	17	4.218581643
b0278	10	2.225911546
