Gene_id	TET_1_readcount	TET_1_fpkm
b0001	149	350.7170945
b0002	9016	568.6749433
b0003	2833	471.7148327
b0004	4927	594.7283169
b0005	178	93.10610414
b0006	202	40.38731228
b0007	161	17.47836659
b0008	11124	1811.453571
b0009	613	161.9562641
b0010	340	93.15592014
b0011	26	5.657046362
b0013	2	0.767166401
b0014	45490	3686.450661
b0015	6326	868.9227828
b0016	3	0.418736378
b0018	2	1.479535202
b0019	2373	315.8940777
b0020	730	125.1725974
b0021	2	0.616473001
b0022	4	2.251466612
b0023	9499	5589.700807
b0024	18	12.76859147
b0025	2202	363.1457899
b0026	8384	462.3586898
b0027	955	299.7179645
b0028	670	231.30067
b0029	1394	227.7177366
b0030	112	19.01566555
b0031	412	77.86458984
b0032	56	7.57151174
b0033	265	12.77717784
b0034	104	40.79930406
b0035	10	2.628615842
b0036	6	1.185886994
b0037	54	5.398304116
b0038	78	9.948598774
b0039	164	22.2901104
b0040	26	2.666093137
b0041	5	1.007465605
b0042	10	1.649163442
b0043	18	2.172744003
b0044	0	0
b0045	4	0.466520109
b0046	57	16.67611711
b0047	382	31.85408318
b0048	269	87.06139956
b0049	636	117.2044612
b0050	185	76.03167012
b0051	1210	228.6799847
b0052	629	98.70293175
b0053	3650	440.5842007
b0054	5557	366.5760499
b0055	629	119.7498804
b0058	607	142.8760244
b0059	2016	107.7358141
b0060	2078	137.2533103
b0061	46	10.26746412
b0062	137	14.16042175
b0063	55	5.023113341
b0064	486	85.89383546
b0065	376	76.35562063
b0066	55	12.22362774
b0067	84	8.100248593
b0068	220	34.73299103
b0069	331	31.05147703
b0070	177	23.32244422
b0071	828	212.2620305
b0072	1085	120.3112405
b0073	546	77.67559812
b0074	775	76.58853504
b0075	1	1.785645934
b0076	127	20.87788563
b0077	271	24.40589808
b0078	70	22.10281247
b0080	1117	172.6639664
b0081	571	193.2582419
b0082	815	134.4068205
b0083	119	50.51036162
b0084	639	56.17963463
b0085	817	85.29699417
b0086	799	91.3359866
b0087	638	91.51806389
b0088	1124	132.5852275
b0089	899	112.1772895
b0090	895	130.1866298
b0091	1377	144.9312989
b0092	939	158.387376
b0093	949	177.4106922
b0094	1777	218.57409
b0095	4572	616.5500601
b0096	15941	2697.661677
b0097	1038	314.3363386
b0098	5468	313.917347
b0099	238	94.80406334
b0101	268	210.2733363
b0102	369	77.049182
b0103	318	79.55182029
b0104	578	86.00861248
b0106	102	13.17192188
b0107	151	16.92498603
b0108	14	4.931784007
b0109	793	137.800334
b0110	233	65.57396508
b0111	373	67.77309497
b0112	444	50.20082324
b0113	171	34.72556151
b0114	2907	169.5217445
b0115	2398	196.7945951
b0116	7795	849.798298
b0117	28	2.346188508
b0118	26547	1587.416554
b0119	1095	468.6213771
b0120	529	103.3720538
b0121	785	140.6582342
b0122	325	145.0837321
b0123	531	53.18599948
b0124	2168	140.862147
b0125	947	273.9619792
b0126	1882	440.981827
b0127	762	127.6996888
b0128	576	116.0600377
b0129	157	55.30643494
b0130	460	58.09882136
b0131	2177	887.6628719
b0132	238	40.94527653
b0133	1128	205.6762316
b0134	1207	235.8602438
b0135	53	6.645369976
b0136	14	3.643076629
b0137	40	10.25420437
b0138	19	5.178373208
b0139	37	2.212468923
b0140	3	0.628952211
b0141	1	0.2655576
b0142	49	15.85876795
b0143	1583	175.9091156
b0144	212	35.52799741
b0145	14526	4948.753238
b0146	2844	626.6933363
b0147	107	31.30429001
b0148	956	61.11758996
b0149	1915	117.3560319
b0150	2148	148.7051558
b0151	222	43.21800196
b0152	116	20.22529603
b0153	354	27.73289131
b0154	1709	207.2562017
b0155	1798	196.4285871
b0156	4049	1823.237662
b0157	151	37.59299781
b0158	83	16.09756465
b0159	1196	265.8083415
b0160	835	85.45339187
b0161	946	103.1313906
b0162	211	28.30665147
b0163	1874	752.2691001
b0164	98	18.72622046
b0166	4662	877.8754871
b0167	654	38.00960806
b0168	1665	325.3581657
b0169	27489	5882.161203
b0170	18289	3334.762944
b0171	749	160.2727906
b0172	6372	1774.010434
b0173	860	111.6140591
b0174	1711	348.8266362
b0175	1208	218.7228963
b0176	2313	265.5782091
b0177	7826	499.7034368
b0178	6734	2152.541061
b0179	3284	497.2449595
b0180	1110	378.1575172
b0181	1615	317.9875563
b0182	736	99.51129715
b0183	342	88.99515764
b0184	2971	132.514615
b0185	2099	339.6689176
b0186	926	67.15929398
b0187	164	65.3271697
b0188	620	74.14760713
b0189	360	219.3193359
b0190	351	99.86862615
b0191	168	61.69976588
b0192	1030	225.0516626
b0193	118	22.21992867
b0194	3232	292.0855534
b0195	156	34.22992459
b0196	264	101.265965
b0197	886	168.677892
b0198	145	34.44330803
b0199	112	16.85981975
b0200	2	0.539413876
b0201	0	0
b0202	0	0
b0203	0	0
b0204	0	0
b0205	0	0
b0206	0	0
b0207	38	7.342469474
b0208	300	50.93481844
b0209	915	177.4611043
b0210	284	70.70471111
b0211	2257	258.0041574
b0212	272	55.89355208
b0213	157	33.73463044
b0214	440	146.0566802
b0215	384	81.4957095
b0216	3	6.052644009
b0217	31	6.127082803
b0218	2	0.870314825
b0219	492	99.1346155
b0220	811	265.8013083
b0221	3260	207.1349283
b0222	2698	723.8990111
b0223	968	195.8072369
b0224	2407	504.6293243
b0225	319	177.6237692
b0226	525	312.4880384
b0227	57	11.80669091
b0228	146	45.54472821
b0229	58	5.259993801
b0230	30	6.164730009
b0231	910	133.8727165
b0232	570	301.1910947
b0233	384	149.5109257
b0234	1001	343.2815617
b0235	157	117.8267527
b0236	363	112.5598488
b0237	3004	320.0788707
b0238	591	200.0273572
b0239	619	77.23886785
b0240	4018	1552.739071
b0241	22	3.236483255
b0242	1243	174.9108124
b0243	1351	167.3679953
b0244	117	239.1590784
b0245	5	2.271216319
b0246	1	0.488525774
b0247	0	0
b0248	1	0.338455765
b0249	8	5.178373208
b0250	477	158.3387192
b0251	14	4.898461143
b0252	22	4.157817904
b0253	302	54.30099683
b0254	62	10.77379661
b0256	0	0
b0258	334	46.82969273
b0259	0	0
b0260	89	9.847761015
b0261	270	44.95693782
b0262	89	13.20559357
b0263	10	4.464114834
b0264	0	0
b0265	0	0
b0266	48	24.13222466
b0267	13	1.748541603
b0268	151	25.80641434
b0269	424	33.46997317
b0270	53	5.953444252
b0271	58	5.593028791
b0272	124	25.38016908
b0273	74	11.43879455
b0274	0	0
b0275	0	0
b0276	229	42.96548785
b0277	52	12.88399076
b0278	19	4.222707766
b0279	7	1.271881139
b0280	80	28.1816229
b0281	496	54.99942422
b0283	42	6.817920838
b0284	121	8.548201339
b0285	42	6.817920838
b0286	44	9.906453093
b0287	331	83.61178204
b0288	48	22.59653763
b0289	89	19.44621162
b0290	106	10.01656131
b0291	58	3.567050428
b0292	4	0.928856181
b0293	29	7.661878726
b0294	4	1.051446337
b0295	33	22.48504156
b0296	10	5.884515009
b0297	1	0.178155042
b0298	0	0
b0299	1	0.179182464
b0300	53	12.03744649
b0301	27	7.061418011
b0303	1	0.655490279
b0304	48	5.623572714
b0305	39	7.086194916
b0306	217	46.82112442
b0307	411	44.71242413
b0308	240	53.56937801
b0310	22	5.108708994
b0311	399	37.09463034
b0312	706	74.45888971
b0313	339	89.56472028
b0314	1050	80.19604525
b0315	141	20.11434221
b0316	212	35.29952155
b0317	12	3.743402319
b0318	17	4.358036858
b0319	7	1.258632377
b0320	24	2.408545678
b0321	22	2.408545678
b0323	23	3.757179299
b0324	341	38.30423566
b0325	387	57.25801233
b0326	12	2.284576415
b0327	24	15.15621427
b0328	124	28.66599454
b0329	1832	1031.171708
b0330	236	23.10200524
b0331	9	1.569204002
b0333	9	1.195009202
b0334	7	0.748938274
b0335	44	3.622391433
b0336	58	7.151086811
b0337	287	34.7241381
b0338	66	11.39242106
b0339	17	4.001470206
b0340	4	1.319330754
b0341	49	6.59065681
b0342	22	5.584520126
b0343	26	3.220997689
b0344	92	4.647905709
b0345	684	98.11654499
b0346	862	160.5668239
b0347	34	3.17233674
b0348	15	2.465892004
b0349	20	3.583649279
b0350	10	1.917916003
b0351	21	3.430468056
b0352	25	3.830157698
b0353	93	11.92051258
b0354	512	147.295949
b0355	228	42.4701112
b0356	826	115.603683
b0357	148	83.30426465
b0358	105	21.07477468
b0360	0	0
b0361	0	0
b0363	29	3.7637299
b0364	4	1.113628647
b0365	7	1.129240263
b0366	14	2.831922848
b0367	9	1.688599959
b0368	55	10.02853966
b0369	994	158.3785529
b0372	28	5.01710899
b0373	6	3.107023925
b0375	4	0.995841002
b0376	338	45.34430426
b0377	373	47.45781834
b0378	301	42.70384481
b0379	46	23.1267153
b0380	308	224.6392885
b0381	968	137.3332949
b0382	600	357.1291867
b0383	806	88.4273052
b0384	1027	497.0270359
b0385	107	14.89478315
b0386	1068	204.8334291
b0387	555	187.8429497
b0388	747	221.0425592
b0389	414	334.9760169
b0390	872	199.8027185
b0391	3179	1732.847203
b0392	218	99.02503152
b0393	336	57.23465124
b0394	287	49.04927758
b0396	140	18.35372783
b0397	398	19.64721198
b0398	129	16.65860708
b0399	149	33.54685252
b0400	162	19.41889953
b0401	915	107.6866247
b0402	763	86.26853182
b0403	248	21.2270505
b0404	328	87.55187692
b0405	638	92.54347638
b0406	1662	228.8951136
b0407	424	197.8045261
b0408	2485	208.9002828
b0409	1846	295.0394118
b0410	395	176.332536
b0411	2910	510.8157978
b0412	128	36.82398726
b0413	532	183.6596364
b0414	1184	166.6085293
b0415	1398	461.1060984
b0416	1237	457.5462613
b0417	222	35.26376847
b0418	688	205.9376166
b0419	951	151.5271668
b0420	982	81.88667456
b0421	587	101.3235024
b0422	246	157.2691122
b0423	1363	146.1309044
b0424	326	85.69287643
b0425	570	97.09449765
b0426	2542	802.6478472
b0427	346	39.37839846
b0428	7069	1232.522566
b0429	727	342.2433929
b0430	1734	438.0145923
b0431	11185	872.2907279
b0432	6699	1097.782346
b0433	349	36.7327693
b0434	900	241.4785434
b0435	7319	3575.520142
b0436	10448	1249.506773
b0437	13364	3327.104786
b0438	25788	3142.115018
b0439	18481	1219.127583
b0440	13502	7683.340116
b0441	3637	301.8228102
b0442	100	41.76107426
b0443	438	170.5358996
b0444	403	89.95191391
b0445	111	10.13755602
b0446	512	97.11820815
b0447	120	40.61469183
b0448	374	32.77007749
b0449	553	48.20943407
b0450	4	1.833052463
b0451	163	19.67540403
b0452	696	125.5800611
b0453	3401	922.0757738
b0454	382	152.164505
b0455	10	13.62729792
b0456	45	19.74803342
b0457	389	38.96300151
b0458	1109	365.7844514
b0459	774	217.8293947
b0460	498	353.264364
b0461	850	352.1293781
b0462	6116	301.6279099
b0463	1777	231.205256
b0464	69	16.54202553
b0465	1321	61.02257812
b0466	144	138.0899522
b0467	329	96.8002719
b0468	320	131.5142402
b0469	310	87.24433122
b0470	2455	197.4053762
b0471	543	255.623332
b0472	995	255.0733338
b0473	13634	1129.631045
b0474	3924	945.1133241
b0475	364	58.7204937
b0476	134	21.68443781
b0477	407	48.45052634
b0478	1379	127.7455573
b0479	133	16.92195667
b0480	551	51.78373208
b0481	279	90.29788281
b0482	220	42.99026814
b0483	156	70.86194916
b0484	1135	70.38866576
b0485	10	1.665071771
b0486	45	5.406654161
b0487	406	154.5896708
b0488	324	109.6596679
b0489	455	76.99868659
b0490	91	20.85097177
b0491	99	19.71765183
b0492	3037	551.8147169
b0493	665	127.5414142
b0494	323	80.02940412
b0495	313	70.77863817
b0496	381	24.50882226
b0497	179	6.495646841
b0498	12	5.052071422
b0499	1	0.219422594
b0501	4	1.265590193
b0502	41	15.09336267
b0503	158	22.41597169
b0504	34	5.697886378
b0505	376	120.9359209
b0506	1706	324.7906137
b0507	2064	179.9353923
b0508	812	162.3489979
b0509	824	145.6307005
b0511	250	26.6926454
b0512	393	44.82600596
b0513	57	6.801089236
b0514	86	11.65811769
b0515	188	37.15779248
b0516	121	15.20832908
b0517	18	2.663163364
b0518	7	0.651953461
b0520	21	3.998008727
b0521	24	4.170501912
b0522	798	116.0770174
b0523	421	128.2408894
b0524	175	37.60229508
b0525	977	306.6224621
b0526	1143	128.1142982
b0527	55	16.36842106
b0528	26	18.96305682
b0529	1709	306.2228309
b0530	11	3.14707764
