Gene_id	Wu_4_readcount	Wu_4_fpkm
b0001	24	58.13967854
b0002	2561	166.2457252
b0003	1425	244.1959971
b0004	1723	214.0484319
b0005	116	62.4463214
b0006	169	34.77530966
b0007	196	21.89887263
b0008	11164	1871.012863
b0009	609	165.594263
b0010	105	29.60816963
b0011	15	3.35891
b0013	0	0
b0014	27300	2276.909946
b0015	2324	328.5328785
b0016	4	0.574605987
b0018	0	0
b0019	6671	913.9562449
b0020	683	120.5307409
b0021	2	0.634460778
b0022	1	0.579290275
b0023	946	572.9180823
b0024	41	29.93264272
b0025	899	152.5857965
b0026	4987	283.0465341
b0027	694	224.1607606
b0028	404	143.5404064
b0029	715	120.2073007
b0030	312	54.5178625
b0031	482	93.75199989
b0032	103	14.33251867
b0033	1666	82.67130268
b0034	61	24.62861383
b0035	10	2.705314991
b0036	2	0.406829812
b0037	34	3.498108072
b0038	33	4.331835655
b0039	143	20.00299964
b0040	4	0.42213628
b0041	4	0.829489577
b0042	11	1.86701197
b0043	7	0.869610576
b0044	0	0
b0045	9	1.080298081
b0046	31	9.334100934
b0047	340	29.17906572
b0048	488	162.5488513
b0049	495	93.88213217
b0050	184	77.82718874
b0051	763	148.4082488
b0052	486	78.48856603
b0053	3493	433.9356777
b0054	4572	310.3992265
b0055	360	70.53711
b0058	341	82.60679326
b0059	889	48.89472966
b0060	765	52.00312446
b0061	32	7.350993839
b0062	272	28.9344508
b0063	124	11.65527947
b0064	843	153.3359611
b0065	449	93.84048115
b0066	80	18.29861127
b0067	109	10.81773348
b0068	165	26.80983652
b0069	318	30.70238459
b0070	107	14.51026328
b0071	121	31.92405616
b0072	180	20.54185644
b0073	145	21.23003372
b0074	173	17.59538936
b0075	0	0
b0076	22	3.722169896
b0077	99	9.175957961
b0078	43	13.97361176
b0080	2268	360.8131095
b0081	752	261.9452184
b0082	1169	198.4124539
b0083	203	88.67889494
b0084	879	79.53488283
b0085	1692	181.8037125
b0086	1473	173.2960286
b0087	1341	197.9728528
b0088	1625	197.2753899
b0089	1020	130.9893962
b0090	1261	188.7770321
b0091	2050	222.0612722
b0092	1454	252.4120572
b0093	1154	222.0292056
b0094	1933	244.6999178
b0095	6556	909.8960629
b0096	25764	4487.20519
b0097	986	307.3016342
b0098	5557	328.3355627
b0099	116	47.55527553
b0101	80	64.59964283
b0102	233	50.07123525
b0103	207	53.29470533
b0104	295	45.17798297
b0106	32	4.252944066
b0107	102	11.76636351
b0108	1	0.362549016
b0109	622	111.2392843
b0110	291	84.28673506
b0111	553	103.4104282
b0112	554	64.46564793
b0113	516	107.8434037
b0114	13099	786.1569202
b0115	14107	1191.487176
b0116	8111	910.0491683
b0117	49	4.225631976
b0118	17248	1061.463138
b0119	1347	593.2889924
b0120	462	92.91378816
b0121	539	99.3973916
b0122	168	77.18543531
b0123	392	40.40913828
b0124	934	62.45577764
b0125	643	191.4441091
b0126	401	96.70215764
b0127	367	63.29824225
b0128	379	78.59413743
b0129	265	96.0754892
b0130	118	15.33847617
b0131	967	405.7951185
b0132	80	14.16470574
b0133	1254	235.3223961
b0134	949	190.8553787
b0135	6	0.77425722
b0136	4	1.071250358
b0137	1	0.263835175
b0138	2	0.560996898
b0139	4	0.246164921
b0140	0	0
b0141	0	0
b0142	4	1.332367633
b0143	423	48.37695355
b0144	61	10.52096125
b0145	3828	1342.185079
b0146	2052	465.3648312
b0147	41	12.34510123
b0148	898	59.08474739
b0149	1567	98.83171983
b0150	1037	73.88584148
b0151	211	42.2751234
b0152	85	15.25269344
b0153	228	18.38304511
b0154	2002	249.8735365
b0155	756	85.00168192
b0156	1637	758.6385446
b0157	58	14.8610236
b0158	138	27.54557804
b0159	1172	268.0746551
b0160	192	20.22249688
b0161	694	77.86636947
b0162	118	16.29216381
b0163	1797	742.4076394
b0164	22	4.326507444
b0166	2375	460.2724551
b0167	740	44.26271823
b0168	1486	298.852574
b0169	7444	1639.362754
b0170	3988	748.3777636
b0171	992	218.4642466
b0172	3235	926.9267298
b0173	1085	144.9241987
b0174	1104	231.6431287
b0175	694	129.3235157
b0176	1596	188.599445
b0177	6608	434.243419
b0178	3301	1085.961866
b0179	2947	459.2382942
b0180	937	328.5338085
b0181	1483	300.5172928
b0182	556	77.36777066
b0183	164	43.92126469
b0184	1457	66.88233046
b0185	1070	178.204171
b0186	1141	85.16702911
b0187	207	84.86156926
b0188	376	46.27900509
b0189	226	141.7012165
b0190	160	46.8524882
b0191	70	26.45836435
b0192	559	125.7035455
b0193	50	9.689946424
b0194	3557	330.8364169
b0195	60	13.54950136
b0196	113	44.60964224
b0197	1173	229.8334167
b0198	444	108.5451797
b0199	1308	202.6438214
b0200	9	2.498189312
b0201	0	0
b0202	0	0
b0203	0	0
b0204	0	0
b0205	0	0
b0206	0	0
b0207	112	22.27241417
b0208	307	53.64417881
b0209	1309	261.2837801
b0210	106	27.15980176
b0211	2427	285.5325603
b0212	195	41.23995055
b0213	264	58.38092202
b0214	280	95.65716341
b0215	522	114.0157221
b0216	6	12.45850254
b0217	3	0.610244718
b0218	0	0
b0219	596	123.593947
b0220	1559	525.8635798
b0221	2121	138.6970184
b0222	1044	288.2884579
b0223	351	73.07203739
b0224	1017	219.4360944
b0225	70	40.11429434
b0226	418	256.0596187
b0227	51	10.87211989
b0228	162	52.01049556
b0229	50	4.666786807
b0230	18	3.806764666
b0231	362	54.80875946
b0232	51	27.73499971
b0233	21	8.414953473
b0234	5	1.764725342
b0235	0	0
b0236	0	0
b0237	3936	431.6213172
b0238	151	52.59804252
b0239	1436	184.4125225
b0240	1082	430.3348595
b0241	3	0.454216239
b0242	583	84.43155763
b0243	938	119.5943388
b0244	1	2.103738368
b0245	0	0
b0246	0	0
b0247	1	0.335186826
b0248	3	1.044994222
b0249	0	0
b0250	292	99.75675613
b0251	0	0
b0252	4	0.778024895
b0253	138	25.5370463
b0254	29	5.186397499
b0256	0	0
b0258	151	21.7892613
b0259	4	0.628846081
b0260	247	28.12776115
b0261	791	135.5501991
b0262	29	4.42849987
b0263	7	3.216059804
b0264	0	0
b0265	1	0.579290275
b0266	47	24.31894321
b0267	27	3.737550763
b0268	221	38.87171577
b0269	436	35.42148098
b0270	72	8.323684997
b0271	234	23.22339115
b0272	65	13.6923156
b0273	99	15.74977859
b0274	1	0.317230389
b0275	0	0
b0276	130	25.1025786
b0277	13	3.314981671
b0278	3	0.686197923
b0279	3	0.560996898
b0280	131	47.49392108
b0281	89	10.1568068
b0283	160	26.73088669
b0284	434	31.55511885
b0285	69	11.52769488
b0286	67	15.52497938
b0287	111	28.85713313
b0288	10	4.844973212
b0289	68	15.29130786
b0290	62	6.029692939
b0291	38	2.405224231
b0292	3	0.71696913
b0293	23	6.253970524
b0294	0	0
b0295	5	3.506230614
b0296	2	1.211243303
b0297	0	0
b0298	0	0
b0299	0	0
b0300	26	6.077466397
b0301	1	0.269165178
b0303	0	0
b0304	83	10.00782928
b0305	5	0.93499483
b0306	24	5.329470533
b0307	84	9.404948
b0308	20	4.594371149
b0310	3	0.71696913
b0311	221	21.14565508
b0312	465	50.47258244
b0313	202	54.9261759
b0314	581	45.6699466
b0315	18	2.642712661
b0316	54	9.253743048
b0317	0	0
b0318	16	4.221362798
b0319	3	0.555153181
b0320	15	1.54926469
b0321	15	1.690106934
b0323	15	2.521831483
b0324	224	25.89590888
b0325	648	98.67134016
b0326	1	0.195936417
b0327	1	0.649935431
b0328	88	20.93720567
b0329	2587	1498.623942
b0330	63	6.347006495
b0331	101	18.12378868
b0333	65	8.882450888
b0334	82	9.029268259
b0335	182	15.42072555
b0336	55	6.979068555
b0337	441	54.91346975
b0338	29	5.151821515
b0339	99	23.9826174
b0340	81	27.49599447
b0341	120	16.61133673
b0342	3	0.783745667
b0343	10	1.274992951
b0344	86	4.471555764
b0345	211	31.15009093
b0346	252	48.31030843
b0347	17	1.632450434
b0348	26	4.398928059
b0349	18	3.319393412
b0350	14	2.763429165
b0351	24	4.034930372
b0352	51	8.041508793
b0353	92	12.13641805
b0354	228	67.50662675
b0355	71	13.61123769
b0356	455	65.53808358
b0357	53	30.70238459
b0358	18	3.718235256
b0360	0	0
b0361	0	0
b0363	7	0.93499483
b0364	1	0.286530674
b0365	7	1.162189836
b0366	7	1.457277099
b0367	9	1.737870826
b0368	30	5.629722394
b0369	1047	171.690943
b0372	3	0.553232235
b0373	0	0
b0375	1	0.256224545
b0376	237	32.7223968
b0377	212	27.76038705
b0378	303	44.24190607
b0379	1134	586.759183
b0380	410	307.7581575
b0381	608	88.77583792
b0382	439	268.9238579
b0383	203	22.92123979
b0384	783	389.9977035
b0385	29	4.15469477
b0386	556	109.7476154
b0387	744	259.1585671
b0388	816	248.5055974
b0389	548	456.3359144
b0390	342	80.64950984
b0391	1114	624.9505446
b0392	33	15.4274147
b0393	201	35.23761767
b0394	253	44.5001995
b0396	147	19.83372578
b0397	368	18.69633133
b0398	77	10.23364666
b0399	134	31.04995876
b0400	137	16.90133016
b0401	2320	281.0084463
b0402	464	53.99288924
b0403	265	23.34396184
b0404	177	48.62455074
b0405	162	24.184152
b0406	629	89.15523844
b0407	471	226.1423983
b0408	1399	121.0378129
b0409	1739	286.0478166
b0410	267	122.6697097
b0411	713	128.8105929
b0412	371	109.8463093
b0413	941	334.3354514
b0414	1964	284.4315252
b0415	888	301.437569
b0416	742	282.4619383
b0417	355	58.03564538
b0418	1154	355.5034101
b0419	3923	643.3080893
b0420	927	79.55586448
b0421	846	150.291069
b0422	290	190.8082043
b0423	416	45.90185801
b0424	329	89.00486322
b0425	717	125.6983675
b0426	1628	529.0474407
b0427	157	18.38960162
b0428	5511	988.9128656
b0429	626	303.2953231
b0430	1167	303.3898591
b0431	4238	340.155062
b0432	1637	276.0868121
b0433	209	22.63941751
b0434	227	62.6834099
b0435	7121	3580.298082
b0436	3477	427.9577146
b0437	5109	1309.0512
b0438	10269	1287.72548
b0439	4804	326.1500184
b0440	5729	3355.223811
b0441	2320	198.1469814
b0442	74	31.80490479
b0443	143	57.30182603
b0444	254	58.3485136
b0445	347	32.61598369
b0446	475	92.7288829
b0447	439	152.9174878
b0448	406	36.61192955
b0449	329	29.5184479
b0450	5	2.358172802
b0451	115	14.28645947
b0452	399	74.09263912
b0453	1971	549.9678754
b0454	624	255.8145856
b0455	0	0
b0456	51	23.0341523
b0457	561	57.83042493
b0458	282	95.72679556
b0459	83	24.04054643
b0460	175	127.7612799
b0461	460	196.1245156
b0462	3073	155.9758376
b0463	539	72.1754929
b0464	93	22.94633146
b0465	1040	49.44379442
b0466	70	69.08572913
b0467	162	49.05535377
