Gene_id	ETH_2_readcount	ETH_2_fpkm
b0001	24	47.30235274
b0002	2889	152.5803357
b0003	1366	190.4515413
b0004	1997	201.8435864
b0005	170	74.45740708
b0006	175	29.29762838
b0007	114	10.3628844
b0008	7556	1030.288876
b0009	443	98.0035565
b0010	171	39.23091953
b0011	15	2.732803992
b0013	1	0.321188815
b0014	36243	2459.333708
b0015	3923	451.2021281
b0016	1	0.116874636
b0018	5	3.097177858
b0019	9024	1005.874195
b0020	841	120.7489142
b0021	7	1.806687084
b0022	0	0
b0023	1496	737.1283301
b0024	41	24.35315192
b0025	1202	165.9850605
b0026	5990	276.6020609
b0027	843	221.5326853
b0028	472	136.4410086
b0029	1041	142.3920192
b0030	140	19.90317574
b0031	623	98.58972728
b0032	246	27.85034084
b0033	2190	88.41664164
b0034	45	14.78198523
b0035	6	1.320624061
b0036	2	0.330996107
b0037	29	2.42751778
b0038	22	2.349583202
b0039	76	8.64933659
b0040	1	0.085862356
b0041	1	0.16871786
b0042	4	0.55236293
b0043	9	0.90966063
b0044	1	0.451671771
b0045	5	0.488293806
b0046	33	8.084159154
b0047	380	26.53298905
b0048	452	122.4933843
b0049	497	76.69097343
b0050	89	30.6276477
b0051	702	111.0914744
b0052	433	56.89421871
b0053	3175	320.9080554
b0054	5386	297.5026741
b0055	303	48.30231056
b0058	404	79.62562711
b0059	1450	64.88411818
b0060	584	32.29914052
b0061	33	6.167655906
b0062	151	13.06873052
b0063	88	6.729670407
b0064	417	61.71100455
b0065	421	71.5873188
b0066	118	21.95938979
b0067	210	16.9566162
b0068	255	33.71013705
b0069	137	10.76157089
b0070	151	16.66013738
b0071	135	28.9785453
b0072	190	17.64131285
b0073	118	14.05642259
b0074	122	10.09538126
b0075	0	0
b0076	31	4.267222826
b0077	120	9.049145741
b0078	31	8.196190184
b0080	1533	198.4227796
b0081	791	224.1708993
b0082	1240	171.2325083
b0083	132	46.91462853
b0084	1146	84.36523183
b0085	1640	143.3693621
b0086	1260	120.6053364
b0087	1035	124.3160863
b0088	1612	159.2189291
b0089	1138	118.9017774
b0090	1188	144.6973655
b0091	1718	151.4091907
b0092	1093	154.3746436
b0093	1188	185.9648452
b0094	2716	279.7318073
b0095	5941	670.8454978
b0096	22069	3127.198216
b0097	564	143.013546
b0098	4163	200.1216407
b0099	113	37.69027208
b0101	59	38.76165016
b0102	233	40.73787973
b0103	205	42.94154808
b0104	472	58.81077955
b0106	22	2.378879751
b0107	61	5.725086343
b0108	1	0.29496932
b0109	460	66.93230001
b0110	207	48.78055126
b0111	402	61.16111222
b0112	517	48.94622999
b0113	377	64.10550876
b0114	9817	479.3580297
b0115	8824	606.3596891
b0116	7525	686.921447
b0117	56	3.929105891
b0118	15960	799.1148043
b0119	1605	575.1536071
b0120	452	73.95826975
b0121	547	82.06985479
b0122	79	29.52998888
b0123	488	40.92827684
b0124	1435	78.07064387
b0125	726	175.8643338
b0126	819	160.6888747
b0127	439	61.60276736
b0128	397	66.9809904
b0129	282	83.18134818
b0130	82	8.672098002
b0131	1630	556.5165253
b0132	240	34.57314818
b0133	1149	175.4267712
b0134	753	123.2092414
b0135	0	0
b0136	0	0
b0137	0	0
b0138	0	0
b0139	4	0.2002794
b0140	0	0
b0141	0	0
b0142	11	2.981033688
b0143	638	59.36479104
b0144	117	16.41804961
b0145	6033	1721.01208
b0146	3211	592.470355
b0147	59	14.45349667
b0148	998	53.42440621
b0149	1934	99.24164222
b0150	2483	143.9359581
b0151	300	48.90280828
b0152	183	26.7170696
b0153	785	51.49468178
b0154	1740	176.6914581
b0155	688	62.93674499
b0156	1457	549.358556
b0157	100	20.84638943
b0158	98	15.91508622
b0159	1089	202.6591142
b0160	185	15.85314358
b0161	685	62.53039085
b0162	368	41.33849825
b0163	1324	445.0332463
b0164	8	1.280014465
b0166	2293	361.5476494
b0167	686	33.38417076
b0168	1137	186.0410458
b0169	12056	2160.140775
b0170	5747	877.4392115
b0171	864	154.8076999
b0172	3828	892.3868589
b0173	1296	140.8400878
b0174	1183	201.9506287
b0175	628	95.21114589
b0176	1978	190.1708409
b0177	7123	380.8344887
b0178	3510	939.4772835
b0179	3077	390.117625
b0180	892	254.4576124
b0181	1544	254.5574014
b0182	577	65.32376693
b0183	109	23.75021815
b0184	2155	80.4839414
b0185	1473	199.5937556
b0186	1040	63.15813671
b0187	203	67.70907286
b0188	384	38.45364472
b0189	82	41.83011977
b0190	104	24.77742286
b0191	50	15.37606029
b0192	590	107.9438359
b0193	46	7.25302742
b0194	4048	306.3233221
b0195	61	11.20758428
b0196	83	26.65867163
b0197	1252	199.5857849
b0198	401	79.75943346
b0199	1053	132.7284767
b0200	12	2.710030626
b0201	10	0.8435893
b0202	0	0
b0203	0	0
b0204	9	0.403145052
b0205	0	0
b0206	0	0
b0207	135	21.84203788
b0208	152	21.60916223
b0209	1077	174.9035496
b0210	80	16.67711154
b0211	2812	269.160481
b0212	149	25.63775004
b0213	114	20.51077121
b0214	224	62.26121642
b0215	414	73.57066747
b0216	1	1.689369741
b0217	8	1.323984428
b0218	0	0
b0219	392	66.1374011
b0220	1513	415.2178569
b0221	1902	101.192211
b0222	1309	294.0874685
b0223	455	77.06649591
b0224	1072	188.1880376
b0225	31	14.45349667
b0226	124	61.80115817
b0227	61	10.57995956
b0228	169	44.14411332
b0229	40	3.037512435
b0230	28	4.817832223
b0231	232	28.57850478
b0232	11	4.866993776
b0233	2	0.652037444
b0234	6	1.722933378
b0235	0	0
b0236	2	0.519287305
b0237	3023	269.7093854
b0238	259	73.40109093
b0239	858	89.64650705
b0240	2537	820.9370384
b0241	1	0.12318321
b0242	960	113.1143218
b0243	1226	127.1769396
b0244	2	3.42319658
b0245	0	0
b0246	0	0
b0247	1	0.272707484
b0248	3	0.850205686
b0249	2	1.08401225
b0250	407	113.1264066
b0251	2	0.585952568
b0252	4	0.632999854
b0253	145	21.83080226
b0254	17	2.473585
b0256	0	0
b0258	93	10.91839053
b0259	0	0
b0260	266	24.64506483
b0261	558	77.79792098
b0262	29	3.60302066
b0263	1	0.373797328
b0264	0	0
b0265	0	0
b0266	29	12.2082933
b0267	18	2.027243689
b0268	139	19.89144591
b0269	370	24.45637394
b0270	45	4.232585793
b0271	110	8.882037059
b0272	99	16.96714826
b0273	119	15.40268153
b0274	0	0
b0275	1	0.471309674
b0276	141	22.15155468
b0277	16	3.31946335
b0278	8	1.488772189
b0279	7	1.064994491
b0280	101	29.7919013
b0281	77	7.149374156
b0283	120	16.31115612
b0284	344	20.34926134
b0285	87	11.82558818
b0286	74	13.95076635
b0287	127	26.86235235
b0288	5	1.970931364
b0289	29	5.305713967
b0290	38	3.006749307
b0291	57	2.935330084
b0292	2	0.388883318
b0293	13	2.875950868
b0294	0	0
b0295	16	9.128524212
b0296	1	0.492732841
b0297	0	0
b0298	0	0
b0299	0	0
b0300	15	2.852663816
b0301	1	0.218992374
b0303	0	0
b0304	139	13.6359912
b0305	12	1.825704842
b0306	15	2.710030626
b0307	82	7.469664245
b0308	34	6.35455457
b0310	3	0.583324978
b0311	184	14.32375253
b0312	393	34.70605412
b0313	163	36.05999934
b0314	593	37.92444038
b0315	33	3.941862728
b0316	47	6.55287148
b0317	1	0.261207771
b0318	11	2.361214802
b0319	3	0.451671771
b0320	7	0.588223702
b0321	17	1.558410846
b0323	13	1.778190442
b0324	228	21.44510135
b0325	2217	274.6577324
b0326	3	0.478240699
b0327	0	0
b0328	60	11.61441697
b0329	1233	581.124828
b0330	214	17.54091656
b0331	1997	291.551847
b0333	2456	273.0599063
b0334	5471	490.1347951
b0335	10969	756.1545547
b0336	115	11.87251512
b0337	494	50.04692071
b0338	53	7.660353235
b0339	39	7.68663232
b0340	43	11.875803
b0341	105	11.82558818
b0342	1	0.212551422
b0343	18	1.867198134
b0344	87	3.680353786
b0345	246	29.54759153
b0346	383	59.7376535
b0347	13	1.015651117
b0348	15	2.064785238
b0349	26	3.900943738
b0350	21	3.372482556
b0351	41	5.608139086
b0352	72	9.236554085
b0353	81	8.693563591
b0354	359	86.48008841
b0355	112	17.46897439
b0356	412	48.28249158
b0357	41	19.32369663
b0358	37	6.218364846
b0360	0	0
b0361	1	0.143577781
b0363	11	1.19540198
b0364	0	0
b0365	11	1.485873489
b0366	12	2.032522969
b0367	9	1.413929022
b0368	31	4.733011233
b0369	813	108.4679335
b0372	1	0.150036298
b0373	0	0
b0375	1	0.208463894
b0376	482	54.14444607
b0377	274	29.19109155
b0378	262	31.12451612
b0379	1635	688.2951569
b0380	628	383.5265877
b0381	969	115.1131913
b0382	232	115.6279734
b0383	156	14.33100941
b0384	1081	438.0625206
b0385	40	4.66241828
b0386	682	109.5253859
b0387	346	98.05705584
b0388	402	99.6052399
b0389	410	277.7781391
b0390	511	98.04075396
b0391	435	198.5454016
b0392	33	12.55172079
b0393	354	50.49214955
b0394	489	69.97782051
b0396	170	18.66147671
b0397	468	19.34481346
b0398	91	9.839911698
b0399	161	30.35234301
b0400	144	14.45349667
b0401	2110	207.9332589
b0402	644	60.96977198
b0403	341	24.43954891
b0404	208	46.48959753
b0405	269	32.67218995
b0406	690	79.57111198
b0407	444	173.44196
b0408	1789	125.9284361
b0409	2167	290.0067341
b0410	331	123.7269155
b0411	751	110.3855186
b0412	469	112.9781656
b0413	559	161.5900928
b0414	1132	133.3806377
b0415	514	141.957273
b0416	573	177.4682912
b0417	251	33.38491715
b0418	445	111.5342084
b0419	3136	418.3953744
b0420	1137	79.3894962
b0421	985	142.3669422
b0422	241	129.0108406
b0423	441	39.59001262
b0424	220	48.42288224
b0425	387	55.19904485
b0426	2016	533.0167552
b0427	149	14.19936926
b0428	5683	829.6891068
b0429	287	113.1314603
b0430	899	190.1516123
b0431	4928	321.807974
b0432	2321	318.4800548
b0433	239	21.06332746
b0434	183	41.11383249
b0435	6942	2839.703034
b0436	6394	640.2932404
b0437	3299	687.7223872
b0438	12802	1306.119984
b0439	7169	395.9889845
b0440	6565	3128.149636
b0441	2721	189.0767521
b0442	157	54.89997525
b0443	94	30.64575986
b0444	405	75.69395885
b0445	264	20.18901122
b0446	448	71.15567591
b0447	183	51.86254687
b0448	346	25.38532918
b0449	416	30.3669425
b0450	14	5.372096107
b0451	192	19.40609343
b0452	420	63.45437562
b0453	3118	707.842973
b0454	408	136.0852302
b0455	1	1.141065527
b0456	78	28.66201882
b0457	298	24.99308708
b0458	332	91.69224639
b0459	51	12.01839669
b0460	54	32.07488302
b0461	313	108.574667
b0462	3035	125.332464
b0463	917	99.90344055
b0464	65	13.0482956
b0465	1356	52.45033403
b0466	53	42.55751797
b0467	181	44.59232211
b0468	250	86.03271827
b0469	243	57.26412539
b0470	1507	101.4662398
b0471	325	128.1105387
b0472	587	126.0030081
b0473	5057	350.8383968
b0474	1220	246.0455712
b0475	289	39.03794895
b0476	147	19.9187251
b0477	395	39.37331851
b0478	812	62.98518405
b0479	113	12.03866185
b0480	751	59.09932486
b0481	72	19.5122205
b0482	120	19.63493887
b0483	395	150.2402943
b0484	3058	158.798058
b0485	5141	716.7726017
b0486	5614	564.7930183
b0487	1154	367.9265108
b0488	257	72.83428714
b0489	620	87.8545876
b0490	57	10.93605279
b0491	89	14.84262927
b0492	1891	287.7006548
b0493	204	32.76125912
b0494	107	22.19891115
b0495	221	41.84571306
b0496	375	20.19898603
b0497	147	4.4667078
b0498	2	0.705048618
b0499	5	0.918654449
b0501	1	0.264931711
b0502	20	6.164998579
b0503	126	14.96827874
b0504	19	2.666178997
b0505	13	3.501157578
b0506	2057	327.9137057
b0507	80	5.839796634
b0508	7	1.171905135
b0509	8	1.183904164
b0511	1	0.089403072
b0512	7	0.668553811
b0513	39	3.896449563
b0514	63	7.151075577
b0515	17	2.813466909
b0516	23	2.420609879
b0517	12	1.486645372
b0518	7	0.54590545
b0520	10	1.594135662
b0521	35	5.092675001
b0522	657	80.02202791
b0523	220	56.1135753
b0524	135	24.28907117
b0525	1591	418.10024
b0526	582	54.62295495
b0527	41	10.21712696
b0528	6	3.664266761
b0529	536	80.41945552
b0530	27	6.468139393
b0531	0	0
b0532	12	0.599453779
b0533	0	0
b0534	1	0.252095872
b0535	0	0
b0536	0	0
b0537	143	15.98079915
b0539	1	0.466241828
b0540	0	0
b0541	0	0
b0542	0	0
b0543	35	13.67222658
b0544	3	0.255562809
b0545	100	23.5654837
b0546	112	18.25704842
b0547	0	0
b0548	0	0
b0549	0	0
b0550	0	0
b0551	0	0
b0552	0	0
b0553	811	96.08021147
b0554	0	0
b0555	0	0
b0556	1	0.281561623
b0557	14	6.194355715
b0558	1	0.316499927
b0559	2	1.256825797
b0560	0	0
b0561	0	0
b0562	14	2.780367298
b0563	5	3.554138525
b0564	117	20.29270932
b0565	219	29.86146953
b0566	11	1.877816496
b0567	50	7.299745793
b0568	301	13.17003783
b0569	130	7.556117562
