gene_id,ceftazidime_2,ceftazidime_3,ceftazidime_4,control_2,control_3,control_4,kanamycin_2,kanamycin_3,kanamycin_4
b0001,61,45,57,36,40,24,27,22,20
b0002,740,1207,669,1831,2936,2561,5126,6907,5751
b0003,476,709,732,1356,1550,1425,1531,1857,1649
b0004,753,1079,850,1643,1875,1723,1845,2429,2016
b0005,93,91,133,104,60,116,298,322,327
b0006,227,317,280,195,165,169,161,234,261
b0007,186,227,264,187,193,196,166,216,207
b0008,14325,17647,17183,10501,10198,11164,2162,2680,2154
b0009,596,725,799,661,578,609,748,869,834
b0010,122,149,207,130,170,105,421,423,536
b0011,14,13,26,20,21,15,37,39,44
b0013,3,5,4,1,1,0,3,9,8
b0014,13127,17046,39155,22675,30288,27300,18732,18665,28927
b0015,1303,1535,3198,2279,3198,2324,2501,2681,3849
b0016,2,3,1,1,1,4,3,5,13
b0018,0,5,1,3,6,0,0,0,0
b0019,3344,4609,4550,5745,7344,6671,3215,3426,4325
b0020,760,967,902,748,959,683,382,448,527
b0021,3,1,3,4,2,2,10,10,4
b0022,3,8,2,4,1,1,12,16,16
b0023,4156,4759,3673,1223,1474,946,1490,1539,1642
b0024,18,22,38,51,80,41,42,47,59
b0025,1331,1548,1583,1020,1093,899,1265,1419,1526
b0026,3916,4814,3782,5158,5745,4987,6310,7223,7972
b0027,500,640,534,787,699,694,850,908,1212
b0028,400,514,399,481,490,404,456,519,611
b0029,676,877,612,749,897,715,813,952,1013
b0030,223,212,152,237,199,312,184,261,245
b0031,327,425,376,497,512,482,156,212,183
b0032,2482,1925,803,143,173,103,410,413,785
b0033,11440,9172,2467,1815,2020,1666,685,789,1340
b0034,169,126,155,34,58,61,101,119,118
b0035,14,10,9,17,18,10,152,167,149
b0036,11,8,9,4,6,2,145,146,204
b0037,42,44,43,24,45,34,95,126,122
b0038,84,119,141,46,49,33,207,259,252
b0039,249,300,482,132,166,143,594,690,699
b0040,4,7,10,9,7,4,84,132,107
b0041,4,3,6,2,7,4,40,61,64
b0042,3,1,4,7,6,11,33,67,62
b0043,9,9,17,8,11,7,58,66,56
b0044,0,0,0,1,0,0,2,3,0
b0045,4,4,11,6,7,9,23,46,56
b0046,40,49,32,43,43,31,60,78,92
b0047,179,254,158,323,469,340,308,354,387
b0048,627,793,670,574,577,488,427,503,534
b0049,514,655,588,544,726,495,175,200,201
b0050,178,248,229,194,262,184,75,84,88
b0051,1022,1298,1136,878,1068,763,343,334,380
b0052,587,732,499,557,741,486,321,516,527
b0053,3123,4159,2493,3465,4759,3493,3143,3578,3588
b0054,5068,6663,6009,4724,6211,4572,1220,1405,1583
b0055,635,686,853,429,507,360,460,534,540
b0058,123,218,258,261,454,341,261,261,349
b0059,669,985,1350,826,1248,889,847,899,941
b0060,1685,2269,1795,793,954,765,703,788,896
b0061,24,24,9,28,39,32,24,29,35
b0062,53,72,40,172,201,272,155,135,117
b0063,27,38,45,90,114,124,142,166,178
b0064,288,429,235,687,691,843,1569,1759,1767
b0065,303,365,567,369,630,449,4019,4743,4933
b0066,63,99,55,98,122,80,174,158,184
b0067,141,158,102,123,143,109,282,361,343
b0068,315,437,427,197,228,165,426,458,592
b0069,286,320,414,318,279,318,385,454,446
b0070,201,215,307,124,162,107,562,652,745
b0071,66,79,34,102,168,121,50,58,62
b0072,83,149,78,178,237,180,127,177,131
b0073,72,85,64,116,127,145,188,190,203
b0074,52,68,86,160,119,173,156,248,217
b0075,0,1,0,0,2,0,22,23,23
b0076,28,41,66,27,45,22,70,112,105
b0077,97,147,191,121,127,99,310,370,385
b0078,34,32,24,28,46,43,92,109,84
b0080,1690,1969,2276,2458,2431,2268,1042,1388,1229
b0081,1139,1378,1838,949,951,752,706,912,1062
b0082,1497,1713,2435,1354,1457,1169,859,1150,1032
b0083,175,211,228,208,269,203,90,107,107
b0084,935,1269,1262,1003,1125,879,727,870,867
b0085,1328,1989,1653,1578,1946,1692,234,324,326
b0086,1224,1946,1701,1454,1702,1473,254,334,332
b0087,980,1560,1823,1319,1608,1341,273,329,322
b0088,1646,2357,3054,1679,1996,1625,363,403,426
b0089,912,1392,1882,1068,1290,1020,442,493,493
b0090,1207,1539,1976,1255,1611,1261,651,809,846
b0091,1824,2517,2784,2174,2597,2050,870,1101,1196
b0092,1197,1660,1916,1404,1629,1454,805,917,978
b0093,884,1307,1804,1131,1259,1154,869,903,1265
b0094,1612,2102,2739,2009,2344,1933,1263,1698,1700
b0095,4935,7128,6980,6400,7208,6556,2716,3109,3355
b0096,20217,26443,30609,23516,26737,25764,23552,27529,30873
b0097,1096,1461,1603,998,1019,986,206,266,257
b0098,5783,7279,9190,5370,6449,5557,1229,1481,1448
b0099,152,178,231,122,130,116,63,89,93
b0101,112,129,101,92,119,80,40,54,40
b0102,262,397,361,249,303,233,337,370,397
b0103,300,348,423,227,256,207,119,136,150
b0104,1054,1336,1116,321,275,295,1738,1907,2066
b0106,43,62,43,21,36,32,115,137,165
b0107,90,123,235,108,82,102,227,276,274
b0108,6,10,2,3,4,1,10,22,28
b0109,866,1004,1288,770,734,622,223,283,300
b0110,301,345,424,313,336,291,109,120,125
b0111,485,715,713,600,623,553,286,328,324
b0112,337,461,422,544,650,554,957,1042,1043
b0113,2916,3099,5566,631,682,516,831,988,1345
b0114,29228,29799,37508,12458,13220,13099,2988,3399,4175
b0115,17003,17713,18007,13549,13231,14107,2111,2360,2873
b0116,17682,18810,13018,7878,8475,8111,7617,8315,8653
b0117,30,41,60,31,45,49,72,78,73
b0118,55455,55885,19089,15650,17082,17248,15298,17467,17867
b0119,877,1089,1343,1292,1413,1347,540,579,492
b0120,1409,1518,868,389,423,462,72,87,126
b0121,1708,1859,1187,473,514,539,381,470,448
b0122,245,334,343,228,184,168,85,153,161
b0123,719,916,551,437,573,392,882,1042,1000
b0124,701,874,524,792,1582,934,1185,1396,1501
b0125,932,1132,1048,750,711,643,481,580,644
b0126,609,713,735,488,445,401,361,487,516
b0127,577,673,731,433,468,367,234,298,248
b0128,320,450,339,399,489,379,450,522,506
b0129,260,257,246,383,273,265,165,174,133
b0130,160,211,199,114,160,118,547,645,601
b0131,1333,1707,1616,1139,1058,967,858,1047,1185
b0132,96,107,129,110,88,80,183,298,247
b0133,1213,1458,1402,1294,1224,1254,639,679,668
b0134,1001,1180,1426,1021,966,949,622,860,789
b0135,5,4,14,1,5,6,234,275,379
b0136,0,1,2,2,4,4,8,15,10
b0137,1,0,1,2,1,1,24,39,43
b0138,1,1,2,1,0,2,22,33,24
b0139,7,5,7,2,3,4,103,158,150
b0140,1,0,3,0,0,0,11,13,21
b0141,2,0,2,0,1,0,10,3,18
b0142,49,29,41,14,20,4,11,9,20
b0143,1267,1429,1291,575,661,423,2374,2853,3365
b0144,64,82,74,94,97,61,280,320,281
b0145,3570,5249,4664,3518,3940,3828,2501,2874,2730
b0146,1259,1636,1933,2104,2294,2052,343,429,459
b0147,40,48,58,40,35,41,58,78,76
b0148,821,1029,1041,1069,1024,898,2384,2489,2955
b0149,1193,1471,1219,1609,1852,1567,5208,5834,7079
b0150,731,862,621,1211,1106,1037,949,1054,1286
b0151,196,275,147,320,268,211,241,243,307
b0152,115,156,76,165,146,85,147,152,181
b0153,258,341,186,380,320,228,541,559,644
b0154,1731,2305,2486,1999,2162,2002,1538,1738,1720
b0155,425,708,658,864,1101,756,832,1091,1018
b0156,1286,1502,2259,985,1568,1637,4284,4641,5062
b0157,140,195,187,105,81,58,263,293,404
b0158,172,236,272,188,145,138,67,91,72
b0159,1367,1799,1522,1117,1161,1172,1106,1213,1389
b0160,311,364,430,225,282,192,385,419,489
b0161,1167,1509,1517,590,1001,694,9620,9632,12460
b0162,96,124,126,145,143,118,819,919,957
b0163,1931,2554,2939,1659,1711,1797,1080,1258,1043
b0164,43,37,60,31,31,22,103,109,125
b0166,1829,2071,2077,2005,2462,2375,886,1165,1166
b0167,1325,1419,1769,739,762,740,537,684,707
b0168,2050,2489,2498,1532,1500,1486,443,546,635
b0169,11260,15934,13079,7570,8057,7444,42960,45348,69548
b0170,5558,7334,5323,3784,4224,3988,3291,3478,3912
b0171,1424,1716,1651,1112,1145,992,502,581,619
