gene_id,gene,CAZ_2,CAZ_3,CAZ_4,Wu_2,Wu_3,Wu_4
b0001,b0001,61,45,57,36,40,24
b0002,b0002,740,1207,669,1831,2936,2561
b0003,b0003,476,709,732,1356,1550,1425
b0004,b0004,753,1079,850,1643,1875,1723
b0005,b0005,93,91,133,104,60,116
b0006,b0006,227,317,280,195,165,169
b0007,b0007,186,227,264,187,193,196
b0008,b0008,14325,17647,17183,10501,10198,11164
b0009,b0009,596,725,799,661,578,609
b0010,b0010,122,149,207,130,170,105
b0011,b0011,14,13,26,20,21,15
b0013,b0013,3,5,4,1,1,0
b0014,b0014,13127,17046,39155,22675,30288,27300
b0015,b0015,1303,1535,3198,2279,3198,2324
b0016,b0016,2,3,1,1,1,4
b0018,b0018,0,5,1,3,6,0
b0019,b0019,3344,4609,4550,5745,7344,6671
b0020,b0020,760,967,902,748,959,683
b0021,b0021,3,1,3,4,2,2
b0022,b0022,3,8,2,4,1,1
b0023,b0023,4156,4759,3673,1223,1474,946
b0024,b0024,18,22,38,51,80,41
b0025,b0025,1331,1548,1583,1020,1093,899
b0026,b0026,3916,4814,3782,5158,5745,4987
b0027,b0027,500,640,534,787,699,694
b0028,b0028,400,514,399,481,490,404
b0029,b0029,676,877,612,749,897,715
b0030,b0030,223,212,152,237,199,312
b0031,b0031,327,425,376,497,512,482
b0032,b0032,2482,1925,803,143,173,103
b0033,b0033,11440,9172,2467,1815,2020,1666
b0034,b0034,169,126,155,34,58,61
b0035,b0035,14,10,9,17,18,10
b0036,b0036,11,8,9,4,6,2
b0037,b0037,42,44,43,24,45,34
b0038,b0038,84,119,141,46,49,33
b0039,b0039,249,300,482,132,166,143
b0040,b0040,4,7,10,9,7,4
b0041,b0041,4,3,6,2,7,4
b0042,b0042,3,1,4,7,6,11
b0043,b0043,9,9,17,8,11,7
b0044,b0044,0,0,0,1,0,0
b0045,b0045,4,4,11,6,7,9
b0046,b0046,40,49,32,43,43,31
b0047,b0047,179,254,158,323,469,340
b0048,b0048,627,793,670,574,577,488
b0049,b0049,514,655,588,544,726,495
b0050,b0050,178,248,229,194,262,184
b0051,b0051,1022,1298,1136,878,1068,763
b0052,b0052,587,732,499,557,741,486
b0053,b0053,3123,4159,2493,3465,4759,3493
b0054,b0054,5068,6663,6009,4724,6211,4572
b0055,b0055,635,686,853,429,507,360
b0058,b0058,123,218,258,261,454,341
b0059,b0059,669,985,1350,826,1248,889
b0060,b0060,1685,2269,1795,793,954,765
b0061,b0061,24,24,9,28,39,32
b0062,b0062,53,72,40,172,201,272
b0063,b0063,27,38,45,90,114,124
b0064,b0064,288,429,235,687,691,843
b0065,b0065,303,365,567,369,630,449
b0066,b0066,63,99,55,98,122,80
b0067,b0067,141,158,102,123,143,109
b0068,b0068,315,437,427,197,228,165
b0069,b0069,286,320,414,318,279,318
b0070,b0070,201,215,307,124,162,107
b0071,b0071,66,79,34,102,168,121
b0072,b0072,83,149,78,178,237,180
b0073,b0073,72,85,64,116,127,145
b0074,b0074,52,68,86,160,119,173
b0075,b0075,0,1,0,0,2,0
b0076,b0076,28,41,66,27,45,22
b0077,b0077,97,147,191,121,127,99
b0078,b0078,34,32,24,28,46,43
b0080,b0080,1690,1969,2276,2458,2431,2268
b0081,b0081,1139,1378,1838,949,951,752
b0082,b0082,1497,1713,2435,1354,1457,1169
b0083,b0083,175,211,228,208,269,203
b0084,b0084,935,1269,1262,1003,1125,879
b0085,b0085,1328,1989,1653,1578,1946,1692
b0086,b0086,1224,1946,1701,1454,1702,1473
b0087,b0087,980,1560,1823,1319,1608,1341
b0088,b0088,1646,2357,3054,1679,1996,1625
