gene_id,gene,locus_tag,gene_title,GSM1080843,GSM1080844,GSM1080845,GSM1080849,GSM1080850,GSM1080851
1759068_at,c4728,c4728,hypothetical protein,12.807,5.752027,5.375299,11.22907,16.43795,3.233797
1759069_at,mrr,b4351,methylated adenine and cytosine restriction protein,625.7108,749.0485,917.9439,1223.206,816.5143,746.1516
1759070_s_at,1759070_s_at,,,214.7998,203.1238,190.1683,195.2338,141.7441,188.1915
1759071_s_at,yfgF,b2503,hypothetical protein,29.912,29.0215,29.94538,65.29614,106.2686,116.2876
1759072_s_at,c1549,Z0312,replication protein O of bacteriophage,36.38688,20.06378,40.57599,48.90085,10.38757,9.019986
1759073_at,stfP,b1154,e14 prophage; uncharacterized protein,31.39313,1.503988,10.89752,18.37519,26.23874,28.90524
1759074_at,yfbN,b2273,uncharacterized protein,29.97051,31.29064,31.01687,13.9661,2.215731,42.24295
1759075_at,ggt,b3447,gamma-glutamyltranspeptidase,289.7703,232.1361,333.9832,114.8397,106.0019,128.8491
1759076_s_at,1759076_s_at,,,14.14011,9.10797,17.66784,14.46538,11.51301,14.59932
1759077_s_at,Z1340,Z1340,hypothetical protein,0.6504773,11.24113,0.711755,0.8249168,2.207789,11.39426
1759078_at,c2520,c2520,hypothetical protein,5.97069,2.581418,2.869998,1.457452,2.767627,8.895336
1759079_at,c0978,c0978,regulator of late gene expression,20.51345,13.43483,7.712301,22.09716,0.6441065,9.341745
1759080_s_at,c5425,Z5948,restriction modification enzyme R subunit,3.29633,1.385498,1.211066,6.119434,2.570537,4.324697
1759081_s_at,1759081_s_at,,,26.14923,31.39242,25.50194,48.611,43.55908,38.63974
1759082_s_at,1759082_s_at,,,107.6128,99.94778,134.1096,69.01993,76.98154,93.31104
1759083_at,yajO,b0419,2-carboxybenzaldehyde reductase,3587.299,2291.847,2219.877,1115.613,724.4552,745.0493
1759084_s_at,treA,Z1968,trehalase,253.2935,299.7093,273.7495,63.7682,52.57823,107.3812
1759085_at,kdpD,c0780,sensor protein KdpD,34.15269,143.6742,109.5521,37.60468,26.13445,33.89691
1759086_s_at,Z4176,b2855,2-component transcriptional regulator,4.129604,12.69018,2.070014,20.90465,27.22902,22.03773
1759087_s_at,Z1777,Z1777,hypothetical protein,15.99337,0.9076484,15.94623,15.84511,29.12794,59.22158
1759088_s_at,rimO,b0835,ribosomal protein S12 methylthiotransferase,229.4751,360.5002,239.991,208.8283,349.6371,289.9688
1759089_s_at,yfdW,b2374,formyl-coenzyme A transferase,33.40356,39.93235,33.65495,26.14625,33.74121,83.76486
1759090_at,ECs1315,ECs1315,hypothetical protein,0.7010502,0.3308648,3.719566,9.322399,3.880408,5.00888
1759091_at,speF,b0693,"ornithine decarboxylase isozyme, inducible",45.87843,24.49058,38.38628,44.31676,45.91636,77.89462
1759092_s_at,1759092_s_at,,,948.2005,684.7083,698.6828,734.1475,813.4043,750.9521
1759093_s_at,Z3622,Z3622,resolvase,2.053197,0.6186017,3.063325,1.49165,1.256782,3.373343
1759094_s_at,Z3371,Z3371,hypothetical protein,14.17915,1.832761,10.77161,16.8391,10.77572,9.71543
1759095_s_at,c5387,b4309,hypothetical protein,26.29429,39.66798,48.47299,24.67297,28.45109,6.385108
1759096_at,c5174,c5174,iron-regulated outer membrane virulence protein,18.94518,12.29881,13.72867,25.7873,14.55878,2.107208
1759097_at,pgm,c0775,phosphoglucomutase,51.79338,94.96346,115.634,137.9447,69.25439,94.01802
1759098_s_at,Z0275,b1458,hypothetical protein,97.63652,98.33459,117.1649,32.38554,22.7511,75.45034
1759099_at,ECs2180,ECs2180,terminase small subunit,4.011242,1.994816,4.219079,9.068166,2.5982,29.97254
1759100_s_at,Z0404,Z0404,hypothetical protein,129.2128,236.4583,259.4282,94.24685,78.67533,173.3576
1759101_s_at,Z1851,Z1851,hypothetical protein,1.39112,0.9134681,1.168416,1.700535,1.806459,5.551204
1759102_s_at,rnc,b2567,ribonuclease III,2157.253,3177.892,3024.976,3271.167,5121.449,4511.281
1759103_s_at,1759103_s_at,,,71.8286,113.7915,94.02053,677.9517,843.4523,691.0799
1759104_at,c4529,c4529,hypothetical protein,3.029199,8.134578,2.887273,19.73854,2.318849,5.590501
1759105_s_at,slt,b4392,lytic murein transglycosylase,585.8932,609.7153,699.523,467.2752,452.1931,487.8801
1759106_s_at,fkpA,b3347,FKBP-type peptidylprolyl isomerase,2323.202,3397.675,1859.565,4655.683,4942.463,3482.4
1759107_s_at,yecF,b1915,hypothetical protein,127.7181,150.834,187.4748,432.5043,523.593,397.106
1759108_s_at,ydiI,b1686,hypothetical protein,3481.2,3424.245,3323.664,841.4484,1158.733,880.0983
1759109_s_at,yeiP,ECs3063,elongation factor P,278.8194,293.7189,221.7211,851.0268,935.7554,835.1973
1759110_s_at,1759110_s_at,,,452.8207,890.7933,1436.687,913.0964,1615.99,1375.418
1759111_at,kpsM,c3698,KpsM protein,2.568151,1.6007,1.990613,1.915559,2.015575,5.501801
1759112_at,c2457,c2457,amidase,6.01717,3.621005,3.91045,19.6912,22.89609,9.167542
1759113_s_at,ftsK,b0890,DNA translocase FtsK,532.0516,642.8279,750.5789,138.5374,156.823,215.6836
1759114_s_at,yojL,b2214,thiamine biosynthesis lipoprotein ApbE,110.566,114.0475,67.68692,71.67787,75.47643,89.96712
1759115_s_at,mltB,c3255,murein hydrolase B,34.2887,19.15019,50.70369,26.7115,34.95217,34.30469
1759116_at,c5371,c5371,prophage P4 integrase,1.698427,1.244964,1.123271,2.662933,1.127802,2.517633
1759117_s_at,1759117_s_at,,,214.9254,252.3418,254.2698,77.8473,77.20878,130.6629
1759118_s_at,Z3240,Z3240,hypothetical protein,10.80066,1.058481,2.274316,3.146187,20.95238,2.317472
1759119_s_at,1759119_s_at,,,0.6370752,10.50022,17.26235,25.33029,2.711964,3.331864
1759120_s_at,1759120_s_at,,,46.96946,80.90863,47.67808,61.55128,109.606,45.91871
1759121_at,c4753,c4753,hypothetical protein,0.7468633,0.7538004,0.3953006,1.129462,2.009436,1.332749
1759122_s_at,thrA,b0002,bifunctional aspartokinase I/homoserine dehydrogenase I,1492.648,1833.593,1947.044,701.5026,465.2725,525.2139
1759123_at,c3064,c3064,hypothetical protein,1.121281,1.26147,9.157091,20.91038,3.250592,34.68076
1759124_s_at,yohG,b2138,multidrug resistance outer membrane protein MdtQ,11.58091,17.17218,28.49764,52.2128,21.95716,85.01759
1759125_at,c5421,c5421,hypothetical protein,3.471146,13.12989,10.62689,17.04675,6.740444,3.989905
1759126_at,glnE,c3801,bifunctional glutamine-synthetase adenylyltransferase/deadenyltransferase,57.15765,10.12673,48.33786,41.1497,20.8709,37.88561
1759127_s_at,yghA,b3003,oxidoreductase,68.68178,42.30061,83.94243,45.76707,53.26869,39.37941
1759128_at,gshB,c3533,glutathione synthetase,3.221011,5.813037,0.7449856,2.287338,1.903842,3.083458
1759129_s_at,yggN,b2958,hypothetical protein,617.1464,1152.607,753.9643,2999.788,3063.107,2880.9
