gene_id,EcMH1_S1,EcMH2_S2,EcMH3_S3,Ectob1_S7,Ectob2_S8,Ectob3_S9,NCMMH1_S73,NCMMH2_S74,NCMMH3_S75,NCMtob1_S76,NCMtob2_S77,NCMtob3_S78
gene-b0001,318.183391493173,440.839335309867,404.629346710122,366.318353884322,491.399391903522,273.739154582687,160.894484312357,133.825957696127,182.023276751011,173.152546351918,207.650536215673,285.698950945814
gene-b0002,4775.87031741223,4283.37921323468,4923.16646388817,3669.45304612242,3546.85443437117,5755.72590819914,1520.62776206081,1346.13169211986,1515.54163033994,1524.76095228718,2249.54747566979,1893.42099788313
gene-b0003,1597.15584749514,1623.86787991754,1671.34106134573,1114.18100790244,1158.37503712333,1609.61824522159,557.009709277019,558.045496798228,560.908684335995,467.511875150178,875.435783363804,435.646537001226
gene-b0004,3138.16168472678,3509.60748439229,3974.4532697741,2460.33378513505,2744.98483843274,3457.75774209711,1199.71321998127,1135.33394176191,1289.00179134004,891.226341517224,1544.79414063478,1184.49720345547
gene-b0005,64.4685303025383,34.2143961733031,43.315413094295,46.5734826454395,59.9528669860506,45.6231924304479,27.9816494456273,21.8669865516547,29.6777081659257,22.4079765867188,25.1697619655361,31.9414976212711
gene-b0006,660.282528098577,756.664530755742,783.90332965773,700.393527475648,796.516661386101,696.353989727889,891.915076079371,665.631070632369,789.427037213623,748.630126874468,877.795448548073,818.94450845648
gene-b0007,126.857430595317,135.541646378855,120.437977871942,115.538062716571,132.752776897683,120.061032711705,104.931185421102,97.0894202893468,102.882721641876,118.151149275426,158.884122407447,116.231560788514
gene-b0008,24438.7720596864,24107.9899190351,22477.5299754688,20581.8967536962,23124.6772660481,21863.1140568015,22043.4187773381,25596.6197779049,29164.2838146552,22939.6567584582,28920.056498401,26197.3516323792
gene-b0009,659.242713093698,665.864787065053,619.093465201388,657.402620418319,704.446187086094,594.702315365312,1023.95348440092,983.139715362395,1035.75201499081,956.413182496769,1131.06617832628,975.990205094396
gene-b0010,70.7074203318162,78.9562988614688,80.2919852479615,85.0861702176299,111.34103868838,136.069170406599,369.882428609386,150.444867475384,112.775291030518,217.968499525355,121.916034520566,267.953674489552
gene-b0011,10.3981500487965,7.89562988614688,8.45178792083806,10.7477267643322,16.0588036569778,9.6048826169364,21.8606636293963,16.6189097792576,15.828111021827,11.2039882933594,16.5176562898831,10.647165873757
gene-b0012,2.0796300097593,1.31593831435781,3.16942047031427,7.16515117622146,10.7058691046519,7.2036619627023,3.49770618070341,1.74935892413237,0.989256938864189,1.0185443903054,4.71933036853803,8.87263822813087
gene-b0013,7.27870503415754,5.26375325743125,7.3953144307333,9.85208286730451,7.49410837325632,11.2056963864258,8.74426545175853,13.1201919309928,8.9033124497777,7.12981073213779,13.3714360441911,6.21084675969161
gene-b0014,26855.3021310267,15516.228664593,26091.7257851172,19565.3409305697,22247.8665863771,71063.3248551735,39241.6400678568,66435.4038617752,77956.4145533147,18406.1156772089,22821.1085521271,21568.4962687633
gene-b0015,5628.51862141354,3408.28023418674,5172.49420755289,5200.10846614273,6028.47489282948,12192.598075316,9405.33191991148,11537.8967841151,13459.8299101862,4467.33569587948,4033.45435497717,5646.54696838249
gene-b0016,1333.04283625571,1265.93265841222,1525.54771971127,1062.23366187483,1229.03377321404,1687.25771304183,1720.87144090608,1637.3999529879,1791.54431628305,851.503110295313,980.834161594487,935.176069244994
gene-b0018,0.0,0.0,0.0,0.0,0.0,1.6008137694894,0.0,0.0,0.0,0.0,0.0,0.887263822813087
gene-b4412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-b4413,1.03981500487965,1.31593831435781,0.0,0.0,3.21176073139557,1.6008137694894,2.62327963552756,3.49871784826475,2.96777081659257,0.0,0.0,0.0
gene-b0019,380.572291785952,332.932393532527,328.563255422579,626.05508402235,529.940520680269,753.182878544763,767.746506664399,711.989082121876,569.811996785773,1146.88098348388,971.395500857411,936.95059689062
gene-b0020,630.127892957067,638.230082463539,638.109988023273,825.783673059524,685.175622697721,804.408919168424,782.611757932389,677.001903639229,736.007162514956,883.077986394781,968.249280611719,982.201051854088
gene-b0021,39.5129701854267,52.6375325743125,53.8801479953426,29.5562486019135,23.5529120302342,38.4195304677456,14.8652512679895,15.7442303171914,6.92479857204932,21.3894321964134,10.2252157984991,19.5198041018879
gene-b0022,160.131510751466,217.129821869039,194.391122179275,138.824804039291,135.964537629079,108.855336325279,65.581990888189,35.8618579447137,22.7529095938763,56.0199414667969,67.6437352823784,76.3046887619255
gene-b0023,9268.91095349719,9065.49904761097,9304.3620273526,9680.1192390752,8240.30744985056,8661.2028998224,18604.2991751615,15908.6700560598,14865.5640203122,25010.3575039491,10926.036358227,16338.0760332802
gene-b0024,18.7166700878337,13.1593831435781,16.9035758416761,14.3303023524429,12.8470429255823,9.6048826169364,8.74426545175853,6.9974356965295,4.94628469432094,15.278165854581,13.3714360441911,9.75990205094396
gene-b0025,2283.43375071571,2358.1614593292,2179.50481008611,1999.97282206282,2544.78508617575,1989.81151547532,2569.06518972666,2208.56564171712,2486.99194430457,2211.25987135302,2067.85325648108,2213.72323791865
gene-b0026,11431.7261636469,10407.7561282559,10209.7598083724,8781.78841035643,10761.5396239961,9122.23726543535,11765.4091653411,11606.1217821562,11958.1378769903,9825.89773327618,9484.28093063859,10025.1939339651
