antibiotic_class,treatment,comparison,regulation,gene,gene_id,baseMean,log2FoldChange,FoldChange,pvalue,padj,signal_strength,padj_source
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,aer,b3072,1319.0,2.41,5.316,9.858e-28,2.187e-24,57.020964432879296,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,trg,b1421,902.9,2.583,5.991,9.248e-26,1.3679999999999998e-22,56.47448961045688,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,fdhF,b4079,509.4,1.903,3.74,3.781e-28,1.678e-24,45.24422090679443,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,ygfK,b2878,62.54,2.678,6.4,2.595e-19,2.304e-16,41.87727193261635,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,guaD,b2883,324.5,1.83,3.555,3.488e-21,3.87e-18,31.864488934015395,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,galS,b2151,834.7,3.25,9.514,1.119e-12,2.92e-10,30.98750573279264,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,hcaR,b2537,416.9,2.115,4.332,4.173e-18,3.087e-15,30.68963002864537,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,rutG,b1006,126.7,2.23,4.693,1.6e-16,8.878e-14,29.105257236262755,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,lldP,b3603,5514.0,3.709,13.08,4.511e-10,5.72e-08,26.862818129206676,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,putA,b1014,5791.0,2.162,4.476,3.743e-15,1.846e-12,25.36840707175645,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,ydcS,b1440,193.6,2.385,5.225,1.747e-13,6.36e-11,24.318754779178533,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,yedL,b1932,348.5,1.805,3.495,9.467e-17,6.002e-14,23.865175736084655,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,dctA,b3528,12920.0,2.634,6.207,4.262e-12,9.007e-10,23.82563585133294,input
