sample_id,dataset,antibiotic_class,treatment,sample_group,condition,replicate,source_file
EcMH1_S1,tobramycin,aminoglycoside,tobramycin,control,control,,GSE224240_analysis.xlsx
EcMH2_S2,tobramycin,aminoglycoside,tobramycin,control,control,,GSE224240_analysis.xlsx
EcMH3_S3,tobramycin,aminoglycoside,tobramycin,control,control,,GSE224240_analysis.xlsx
Ectob1_S7,tobramycin,aminoglycoside,tobramycin,control,control,,GSE224240_analysis.xlsx
Ectob2_S8,tobramycin,aminoglycoside,tobramycin,control,control,,GSE224240_analysis.xlsx
Ectob3_S9,tobramycin,aminoglycoside,tobramycin,control,control,,GSE224240_analysis.xlsx
NCMMH1_S73,tobramycin,aminoglycoside,tobramycin,control,control,,GSE224240_analysis.xlsx
NCMMH2_S74,tobramycin,aminoglycoside,tobramycin,control,control,,GSE224240_analysis.xlsx
NCMMH3_S75,tobramycin,aminoglycoside,tobramycin,control,control,,GSE224240_analysis.xlsx
NCMtob1_S76,tobramycin,aminoglycoside,tobramycin,control,control,,GSE224240_analysis.xlsx
NCMtob2_S77,tobramycin,aminoglycoside,tobramycin,control,control,,GSE224240_analysis.xlsx
NCMtob3_S78,tobramycin,aminoglycoside,tobramycin,control,control,,GSE224240_analysis.xlsx
