gene,group,regulator_type,fc_caz,fc_kan,label
tyrt,caz,,2.935,0.0,tyrt
ydeq,kan,,0.0,6.218,ydeq
yhdu,caz,,3.449,0.0,yhdu
fepe,kan,,0.0,6.054,fepe
uact,caz,,4.281,0.0,uact
tdcf,caz,,4.306,0.0,tdcf
gfcc,kan,,0.0,9.302,gfcc
dgcz,caz,,3.754,0.0,dgcz
ydin,kan,,0.0,8.024,ydin
metv,kan,,0.0,6.311,metv
ynbb,kan,,0.0,7.102,ynbb
wcaf,kan,,0.0,6.308,wcaf
yght,kan,,0.0,7.563,yght
marr,caz,,2.802,0.0,marr
djlb,kan,,0.0,6.441,djlb
yfdn,kan,,0.0,6.081,yfdn
pspa,caz,,2.911,0.0,pspa
rusa,kan,,0.0,6.854,rusa
ygew,caz,,5.189,0.0,ygew
yfcv,kan,,0.0,7.657,yfcv
yfdo,kan,,0.0,6.589,yfdo
ycjn,kan,,0.0,6.466,ycjn
sfmh,kan,,0.0,7.58,sfmh
uraa,caz,,3.537,0.0,uraa
ykgq,kan,,0.0,6.983,ykgq
bglh,kan,,0.0,6.301,bglh
ygex,caz,,4.896,0.0,ygex
ycgx,caz,,2.917,0.0,ycgx
ycjm,kan,,0.0,6.506,ycjm
suhb,caz,,2.882,0.0,suhb
ygfk,caz,,3.234,0.0,ygfk
ygap,caz,,4.967,0.0,ygap
ydet,kan,,0.0,9.019,ydet
xdhd,caz,,3.89,0.0,xdhd
pinh,kan,,0.0,6.636,pinh
cara,caz,,3.543,0.0,cara
ygfm,caz,,3.933,0.0,ygfm
ymde,kan,,0.0,6.173,ymde
yder,kan,,0.0,6.068,yder
ylbi,kan,,0.0,6.167,ylbi
cspi,caz,,2.986,0.0,cspi
ohsc,kan,,0.0,6.227,ohsc
yeiw,caz,,3.062,0.0,yeiw
ompg,kan,,0.0,9.164,ompg
hyua,caz,,3.618,0.0,hyua
prfh,kan,,0.0,6.545,prfh
tnac,caz,,3.244,0.0,tnac
xanq,caz,,2.766,0.0,xanq
ydes,kan,,0.0,8.723,ydes
mett,caz,,2.748,0.0,mett
rybb,kan,,0.0,8.311,rybb
tdce,caz,,3.414,0.0,tdce
mdti,caz,,2.926,0.0,mdti
ynfn,caz,,3.475,0.0,ynfn
ydeo,caz,,2.821,0.0,ydeo
yjjq,kan,,0.0,7.146,yjjq
nanc,caz,,4.218,0.0,nanc
ydda,kan,,0.0,6.509,ydda
ibpb,kan,,0.0,7.054,ibpb
recn,caz,,3.586,0.0,recn
cspf,caz,,3.207,0.0,cspf
yghf,kan,,0.0,6.707,yghf
ygil,caz,,3.114,0.0,ygil
ydfu,cross,,2.868,7.21,ydfu
cbrb,caz,,2.765,0.0,cbrb
yjhe,kan,,0.0,6.835,yjhe
pdel,kan,,0.0,7.056,pdel
ycgz,caz,,2.835,0.0,ycgz
sdhc,caz,,3.161,0.0,sdhc
insf2,caz,,3.042,0.0,insf2
rcsa,caz,,3.27,0.0,rcsa
rhle,caz,,2.88,0.0,rhle
yeeh,caz,,2.744,0.0,yeeh
mata,kan,,0.0,7.798,mata
ygav,caz,,4.704,0.0,ygav
alax,caz,,4.471,0.0,alax
yahm,cross,,2.812,6.963,yahm
qued,caz,,2.828,0.0,qued
ynek,caz,,3.154,0.0,ynek
ybfg,kan,,0.0,7.007,ybfg
eaeh,kan,,0.0,6.874,eaeh
leuv,caz,,3.33,0.0,leuv
yqik,caz,,3.653,0.0,yqik
ygey,caz,,5.696,0.0,ygey
mqo,caz,,2.839,0.0,mqo
sfmd,kan,,0.0,6.23,sfmd
yber,kan,,0.0,6.143,yber
ytha,kan,,0.0,6.504,ytha
insh4,kan,,0.0,6.152,insh4
ssna,caz,,3.284,0.0,ssna
acre,kan,,0.0,6.748,acre
yehl,kan,,0.0,6.06,yehl
ynba,kan,,0.0,8.033,ynba
yeha,kan,,0.0,6.434,yeha
ytfa,kan,,0.0,8.412,ytfa
ykfi,kan,,0.0,7.064,ykfi
soka,kan,,0.0,6.677,soka
yfhl,caz,,2.738,0.0,yfhl
cecr,tf,TF,0.0,0.0,cecr
blur,tf,TF,0.0,0.0,blur
argr,tf,TF,0.0,0.0,argr
h-ns,tf,TF,0.0,0.0,h-ns
fis,tf,TF,0.0,0.0,fis
rutr,tf,TF,0.0,0.0,rutr
rob,tf,TF,0.0,0.0,rob
rpod,tf,sigma,0.0,0.0,rpod
srsr,tf,TF,0.0,0.0,srsr
nanr,tf,TF,0.0,0.0,nanr
crp,tf,TF,0.0,0.0,crp
mara,tf,TF,0.0,0.0,mara
ihf,tf,TF,0.0,0.0,ihf
rcsab,tf,TF,0.0,0.0,rcsab
nagc,tf,TF,0.0,0.0,nagc
nac,tf,TF,0.0,0.0,nac
soxs,tf,TF,0.0,0.0,soxs
dksa,tf,TF,0.0,0.0,dksa
cra,tf,TF,0.0,0.0,cra
arca,tf,TF,0.0,0.0,arca
pepa,tf,TF,0.0,0.0,pepa
fur,tf,TF,0.0,0.0,fur
leuo,tf,TF,0.0,0.0,leuo
tdcr,tf,TF,0.0,0.0,tdcr
basr,tf,TF,0.0,0.0,basr
acrr,tf,TF,0.0,0.0,acrr
purr,tf,TF,0.0,0.0,purr
fnr,tf,TF,0.0,0.0,fnr
lrp,tf,TF,0.0,0.0,lrp
ycjw,tf,TF,0.0,0.0,ycjw
gade,tf,TF,0.0,0.0,gade
torr,tf,TF,0.0,0.0,torr
carbon storage regulator csra,tf,TF,0.0,0.0,carbon storage regulator csra
phop,tf,TF,0.0,0.0,phop
cpxr,tf,TF,0.0,0.0,cpxr
tdca,tf,TF,0.0,0.0,tdca
evga,tf,TF,0.0,0.0,evga
pspf,tf,TF,0.0,0.0,pspf
spf,tf,TF,0.0,0.0,spf
glar,tf,TF,0.0,0.0,glar
rpos,tf,sigma,0.0,0.0,rpos
rpoh,tf,sigma,0.0,0.0,rpoh
rpoe,tf,sigma,0.0,0.0,rpoe
lexa,tf,TF,0.0,0.0,lexa
zrar,tf,TF,0.0,0.0,zrar
rcsb-bglj,tf,TF,0.0,0.0,rcsb-bglj
dnaa,tf,TF,0.0,0.0,dnaa
creb,tf,TF,0.0,0.0,creb
rcsb,tf,TF,0.0,0.0,rcsb
flia,tf,sigma,0.0,0.0,flia
rpon,tf,sigma,0.0,0.0,rpon
cysb,tf,TF,0.0,0.0,cysb
nsrr,tf,TF,0.0,0.0,nsrr
small heat shock protein ibpa,tf,TF,0.0,0.0,small heat shock protein ibpa
ryhb,tf,TF,0.0,0.0,ryhb
csra,tf,TF,0.0,0.0,csra
ppgpp,tf,effector,0.0,0.0,ppgpp
