gene_id,gene,Product,Note,Locus,Protein ID,COG Class,COG Annotation,GeneID,Protein product,Protein Length,Protein name,FPKM of control-1,FPKM of control-2,FPKM of control-3,FPKM of Flu30d-Amor-1,FPKM of Flu30d-Amor-2
aaaD,aaaD,,pseudogene%3B DLP12 prophage%3B tail fiber assembly protein family%3BPhage or Prophage Related,NC_000913.3:580833-582097,-,-,-,-,-,-,-,6.81559,3.46645,6.5096,2.79646,3.08877
aaaE,aaaE,,pseudogene%2C phage terminase protein A family%2C e14 prophage%3BPhage or Prophage Related,NC_000913.3:1204403-1205537,-,-,-,-,-,-,-,0.230517,0.79962,1.97543,1.19061,1.04318
aaeA,aaeA,p-hydroxybenzoic acid efflux system component,,NC_000913.3:3388193-3389126,16131131,(CELLULAR PROCESSES AND SIGNALING) [V] Defense mechanisms,[COG1566] Multidrug resistance efflux pump,947748,NP_417708.1,310,p-hydroxybenzoic acid efflux system component,3.63295,2.68707,4.81637,2.68077,2.3051
aaeB,aaeB,p-hydroxybenzoic acid efflux system component,,NC_000913.3:3386220-3388188,16131130,(POORLY CHARACTERIZED) [S] Function unknown,[COG1289] Uncharacterized membrane protein YccC,947747,NP_417707.1,655,p-hydroxybenzoic acid efflux system component,2.04679,2.00987,3.32943,2.92854,2.83445
aaeR,aaeR,transcriptional regulator for aaeXAB operon,,NC_000913.3:3389519-3390449,16131133,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,"[COG0583] DNA-binding transcriptional regulator, LysR family",947760,NP_417710.1,309,transcriptional regulator for aaeXAB operon,20.5699,20.0967,22.0085,14.7481,14.5462
aaeX,aaeX,DUF1656 family putative inner membrane efflux pump associated protein,,NC_000913.3:3389133-3389337,-,-,-,-,-,-,-,18.8365,15.9611,7.59802,4.89482,10.7851
aas,aas,fused 2-acylglycerophospho-ethanolamine acyl transferase/acyl-acyl carrier protein synthetase,2-acyl-glycerophospho-ethanolamine acyltransferase%3B acyl-acyl-carrier protein synthetase,NC_000913.3:2972668-2976014,16130740,"(METABOLISM) [I] Lipid transport and metabolism; [Q] Secondary metabolites biosynthesis, transport and catabolism",[COG0318] Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II,947315,NP_417313.1,719,fused 2-acylglycerophospho-ethanolamine acyl transferase/acyl-acyl carrier protein synthetase,7.90485,7.21564,5.37831,9.96774,9.26487
aat,aat,leucyl/phenylalanyl-tRNA-protein transferase,leucyl%2C phenylalanyl-tRNA-protein transferase,NC_000913.3:926727-927432,16128852,"(CELLULAR PROCESSES AND SIGNALING) [O] Posttranslational modification, protein turnover, chaperones",[COG2360] Leu/Phe-tRNA-protein transferase,945490,NP_415405.1,234,leucyl/phenylalanyl-tRNA-protein transferase,4.7465,6.86164,6.6072,5.48293,4.33883
abgA,abgA,p-aminobenzoyl-glutamate hydrolase%2C A subunit,,NC_000913.3:1401809-1404565,90111252,(POORLY CHARACTERIZED) [R] General function prediction only,[COG1473] Metal-dependent amidase/aminoacylase/carboxypeptidase,945742,NP_415854.4,436,"p-aminobenzoyl-glutamate hydrolase, A subunit",1.07248,0.947257,2.11635,2.08615,1.81843
abgB,abgB,p-aminobenzoyl-glutamate hydrolase%2C B subunit,,NC_000913.3:1401809-1404565,16129298,(POORLY CHARACTERIZED) [R] General function prediction only,[COG1473] Metal-dependent amidase/aminoacylase/carboxypeptidase,945950,NP_415853.1,481,"p-aminobenzoyl-glutamate hydrolase, B subunit",2.13751,2.26076,3.3886,2.89662,1.97136
