antibiotic_class,treatment,comparison,regulation,gene,gene_id,baseMean,log2FoldChange,FoldChange,pvalue,padj,signal_strength,padj_source,Product,Note,Locus,Protein ID,COG Class,COG Annotation,GeneID,Protein product,Protein Length,Protein name
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,downregulated,rnpB,rnpB,21803.879999999997,-15.131967793526952,2.7849910300415444e-05,0.00010582092628354702,0.042828614892213755,20.7045566026392,BH_from_pvalue,,RNase P is an essential enzyme responsible for the processing of the 5' ends of precursors to tRNA%2C 4.5S RNA%2C and other naturally occurring stable RNA molecules%3B RNase P also affects gene expression of polycistronic operon mRNAs,NC_000913.3:3270215-3270592,-,-,-,-,-,-,-
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,downregulated,gapA,gapA,1062.944,-10.791109211536869,0.0005643550828250259,6.484770295090973e-06,0.02887019735374501,16.613454855435997,BH_from_pvalue,glyceraldehyde-3-phosphate dehydrogenase A,,NC_000913.3:1862770-1863766,16129733,(METABOLISM) [G] Carbohydrate transport and metabolism,[COG0057] Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase,947679,NP_416293.1,331,glyceraldehyde-3-phosphate dehydrogenase A
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,gcvB,gcvB,46833.24,-16.009206785420048,1.5161722750432002e-05,0.0016195124005210354,0.11444554297015318,15.07108513506244,BH_from_pvalue,,regulated by gcvA and gcvR,NC_000913.3:2942695-2942901,-,-,-,-,-,-,-
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,ompC,ompC,2144.892,-11.78768419326695,0.00028284823849519136,0.0001647415366853252,0.05556867253730354,14.795547307367295,BH_from_pvalue,outer membrane porin protein C,outer membrane protein 1b (Ib%3Bc),NC_000913.3:2311645-2312749,16130152,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis,[COG3203] Outer membrane protein (porin),946716,NP_416719.1,367,outer membrane porin protein C
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,downregulated,ompA,ompA,831.4799999999999,-10.435509587500407,0.0007221020769250255,2.7274554609561123e-05,0.03974188656101514,14.617555923224794,BH_from_pvalue,outer membrane protein A (3a%3BII*%3BG%3Bd),outer membrane protein 3a (II*%3BG%3Bd),NC_000913.3:1019012-1020053,16128924,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis,[COG3637] Opacity protein and related surface antigens,945571,NP_415477.1,346,outer membrane protein A (3a;II*;G;d)
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,downregulated,cydA,cydA,703.57,-10.191917420941458,0.0008549232793351874,6.752791754187988e-05,0.03974188656101514,14.276343825504147,BH_from_pvalue,cytochrome d terminal oxidase%2C subunit I,cytochrome d terminal oxidase%2C polypeptide subunit I,NC_000913.3:771457-773026,90111166,(METABOLISM) [C] Energy production and conversion,"[COG1271] Cytochrome bd-type quinol oxidase, subunit 1",945341,NP_415261.2,522,"cytochrome d terminal oxidase, subunit I"
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,csrC,csrC,29890.859999999997,-15.338949000557255,2.412771803338697e-05,0.001972124622364674,0.12086124134891546,14.076752129328064,BH_from_pvalue,,CsrC regulatory RNA~binds global regulatory protein CsrA%2C antagonizing CsrA regulation,NC_000913.3:4051035-4051280,-,-,-,-,-,-,-
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,downregulated,tufA,tufA,476.48280000000005,-9.6324325153641,0.0012599371503233753,4.1068859739283414e-05,0.03974188656101514,13.492644493247953,BH_from_pvalue,translation elongation factor EF-Tu 1,,NC_000913.3:3470144-3471329,16131218,"(INFORMATION STORAGE AND PROCESSING) [J] Translation, ribosomal structure and biogenesis","[COG0050] Translation elongation factor EF-Tu, a GTPase",947838,NP_417798.1,394,translation elongation factor EF-Tu 1
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,aspA,aspA,1246.6680000000001,-11.003687752065227,0.00048703472130644286,0.0002209250571586169,0.06111659177302579,13.356725942970789,BH_from_pvalue,aspartate ammonia-lyase,aspartate ammonia-lyase (aspartase),NC_000913.3:4366890-4368327,90111690,(METABOLISM) [E] Amino acid transport and metabolism,[COG1027] Aspartate ammonia-lyase,948658,NP_418562.4,478,aspartate ammonia-lyase
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,downregulated,glpA,glpA,309.697,-9.011063809032017,0.0019382040674866007,5.966686300760935e-05,0.03974188656101514,12.622261332982307,BH_from_pvalue,anaerobic sn-glycerol-3-phosphate dehydrogenase%2C large FAD/NAD(P)-binding subunit,sn-glycerol-3-phosphate dehydrogenase (anaerobic)%2C large subunit,NC_000913.3:2352646-2356711,16130176,(METABOLISM) [C] Energy production and conversion,[COG0578] Glycerol-3-phosphate dehydrogenase,946713,NP_416744.1,542,"anaerobic sn-glycerol-3-phosphate dehydrogenase, large FAD/NAD(P)-binding subunit"
